problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct,model_family,model_n_params,training_step
row_constant,0,row_constant_0,False,[3],"3]
[1] [1] [",-2.4419498443603516,[3],True,"[-7.903247833251953, -6.787652969360352, -6.153814315795898, -0.05231285095214844, -4.461824417114258, -5.098960876464844, -4.250822067260742, -6.246026992797852]",3,3],-0.0523128509521484,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.3987712860107422,[6],True,"[-5.16539192199707, -4.706212997436523, -5.0572967529296875, -5.311561584472656, -4.812191009521484, -2.7656631469726562, -0.1659564971923828, -3.7609500885009766]",6,6],-0.1659564971923828,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[2] [5] [",-3.259061813354492,[2],True,"[-0.8843765258789062, -2.5823326110839844, -2.916656494140625, -4.248477935791016, -3.5529861450195312, -4.266965866088867, -4.307109832763672, -2.602161407470703]",0,2],-0.8843765258789062,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
dist3_diag2,0,dist3_diag2_0,False,[9],"1]
[1] [9] [",-3.1544876098632812,[1],False,"[-4.274871826171875, -3.537454605102539, -4.194877624511719, -1.3923606872558594, -1.0387802124023438, -1.6748600006103516, -4.5735015869140625, -3.9015636444091797]",4,1],-1.0387802124023438,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-1.4337100982666016,[4],True,"[-1.9254512786865234, -3.9628190994262695, -5.0183258056640625, -2.2011070251464844, -0.5483055114746094, -6.454800605773926, -5.909577369689941, -7.641925811767578]",4,4],-0.5483055114746094,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-2.4167442321777344,[8],True,"[-2.546335220336914, -3.005268096923828, -3.706768035888672, -1.7781429290771484, -3.5647621154785156, -3.4053096771240234, -1.047464370727539, -2.3240966796875]",6,8],-1.047464370727539,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.2724151611328125,"[6, 9]",True,"[-6.0784454345703125, -5.311492919921875, -6.006416320800781, -6.325138092041016, -7.668098449707031, -6.663785934448242, -0.15187644958496094, -8.703314781188965]",6,6 9],-0.1518764495849609,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"7 2]
[6 3] [7",-5.557399749755859,"[7, 2]",False,"[-1.7405681610107422, -6.812349319458008, -5.983081817626953, -4.682867050170898, -5.812519073486328, -6.842107772827148, -6.708120346069336, -6.899045944213867]",0,1 2],-1.7405681610107422,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 0] [0",-5.344245910644531,"[1, 0]",True,"[-4.817445755004883, -4.505163192749023, -7.40846061706543, -6.990081787109375, -5.453401565551758, -4.265535354614258, -10.049697875976562, -0.6541061401367188]",7,1 0],-0.6541061401367188,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"0 1]
[8 2] [9",-5.35371208190918,"[0, 1]",False,"[-7.664226531982422, -5.920375823974609, -3.0627384185791016, -3.1695423126220703, -3.0637893676757812, -7.743135452270508, -4.960779190063477, -5.569742202758789]",2,9 1],-3.0627384185791016,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"2 9]
[3 9] [2",-6.936872482299805,"[2, 9]",False,"[-4.019092559814453, -5.278154373168945, -6.134670257568359, -5.289331436157227, -3.8748226165771484, -5.695760726928711, -4.740642547607422, -4.222515106201172]",4,1 6],-3.874822616577149,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 2]
[3 1] [2",-2.4448776245117188,"[2, 2]",False,"[-2.7765941619873047, -4.212961196899414, -6.999631881713867, -5.570188522338867, -6.933479309082031, -3.5869274139404297, -9.916219711303711, -2.7959346771240234]",0,2 0],-2.7765941619873047,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 9]",-0.8298511505126953,"[1, 8, 8]",True,"[-8.85934066772461, -4.810768127441406, -8.8575439453125, -4.801200866699219, -10.050323486328125, -0.3952598571777344, -11.032096862792969, -13.122081756591797]",5,1 8 8],-0.3952598571777344,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 3]
[3 2 6]",-4.164791107177734,"[6, 9, 3]",False,"[-7.533290863037109, -6.966279983520508, -8.80206298828125, -6.558101654052734, -7.299407958984375, -3.1807804107666016, -9.445850372314453, -7.923955917358398]",5,6 9 0],-3.1807804107666016,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 2]
[6 6 4]",-2.269655227661133,"[0, 0, 2]",False,"[-12.480998992919922, -2.069896697998047, -3.556978225708008, -12.651376724243164, -13.512526512145996, -12.46194839477539, -8.918067932128906, -12.764097213745117]",1,0 0 1],-2.069896697998047,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 7 8]
[9 7 8]",-6.741443634033203,"[5, 7, 8]",False,"[-6.4968719482421875, -6.880908966064453, -8.601188659667969, -7.267560958862305, -5.172111511230469, -5.062042236328125, -7.003263473510742, -5.026676177978516]",7,5 1 7],-5.026676177978516,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 8 1]
[7 2 9]",-5.924510955810547,"[8, 8, 1]",False,"[-8.822917938232422, -8.209417343139648, -8.312593460083008, -4.77876091003418, -8.316936492919922, -6.543697357177734, -8.087301254272461, -7.368486404418945]",3,8 7 0],-4.77876091003418,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 2 6]
[1 3 6]",-4.379583358764648,"[5, 2, 6]",False,"[-11.025094985961914, -4.343950271606445, -3.0127086639404297, -6.973575592041016, -9.259475708007812, -7.107904434204102, -4.664058685302734, -10.344734191894531]",2,5 2 5],-3.0127086639404297,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 4] [3 9 8]
",-3.962835311889648,"[0, 1, 4]",False,"[-7.080482482910156, -6.186168670654297, -6.935396194458008, -8.527238845825195, -5.053827285766602, -7.75269889831543, -6.415016174316406, -7.2052459716796875]",4,0 1 6],-5.053827285766602,True,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"5 4 2]
[5 4 2]",-2.4663162231445312,"[5, 4, 2]",False,"[-6.384435653686523, -8.724353790283203, -9.763500213623047, -6.343284606933594, -6.599723815917969, -9.731546401977539, -6.464996337890625, -6.060661315917969]",7,5 2 4],-6.060661315917969,False,OLMo 7B,step31000-tokens137B,False,OLMo,7,31000
