problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3] [3]
[5] [",-2.7404403686523438,[3],True,"[-6.374489784240723, -5.538299560546875, -5.93171501159668, -0.11630630493164062, -4.194707870483398, -3.961221694946289, -3.719696044921875, -4.455751419067383]",3,3],-0.11630630493164062,True,EleutherAI/pythia-1b-deduped,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.2564678192138672,[6],True,"[-5.417407989501953, -6.013191223144531, -6.449199676513672, -6.129331588745117, -6.299564361572266, -4.309944152832031, -0.054889678955078125, -3.9069976806640625]",6,6],-0.054889678955078125,True,EleutherAI/pythia-1b-deduped,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[2] [5] [",-3.1576404571533203,[2],True,"[-0.9195098876953125, -2.141284942626953, -2.6010265350341797, -2.722219467163086, -3.13958740234375, -4.286126136779785, -3.659942626953125, -3.060506820678711]",0,2],-0.9195098876953125,True,EleutherAI/pythia-1b-deduped,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.5007781982421875,[9],True,"[-3.7338333129882812, -3.5900535583496094, -4.498191833496094, -3.929370880126953, -2.8517608642578125, -0.3439617156982422, -3.7995681762695312, -3.6919727325439453]",5,9],-0.3439617156982422,True,EleutherAI/pythia-1b-deduped,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.5845108032226562,[4],True,"[-2.9908180236816406, -5.057862281799316, -5.37516975402832, -4.6507415771484375, -0.139373779296875, -6.377042770385742, -6.275815963745117, -7.529714584350586]",4,4],-0.139373779296875,True,EleutherAI/pythia-1b-deduped,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-1.0179386138916016,[8],True,"[-2.763246536254883, -3.131715774536133, -4.284890174865723, -3.2472572326660156, -3.799123764038086, -3.444803237915039, -0.4197864532470703, -3.982023239135742]",6,8],-0.4197864532470703,True,EleutherAI/pythia-1b-deduped,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.361419677734375,"[6, 9]",True,"[-8.81507682800293, -4.743404388427734, -7.457887649536133, -7.347400665283203, -9.820980072021484, -9.159242630004883, -0.08122634887695312, -10.136152267456055]",6,6 9],-0.08122634887695312,True,EleutherAI/pythia-1b-deduped,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 1] [5",-4.73420524597168,"[1, 2]",True,"[-1.3253650665283203, -9.159963607788086, -6.44672966003418, -5.882974624633789, -6.953426361083984, -7.965139389038086, -8.41124153137207, -8.424497604370117]",0,1 2],-1.3253650665283203,True,EleutherAI/pythia-1b-deduped,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1] [1",-3.705270767211914,"[1, 0]",True,"[-5.673425674438477, -4.369211196899414, -10.178426742553711, -7.696168899536133, -3.259885787963867, -6.440069198608398, -9.717235565185547, -0.23433876037597656]",7,1 0],-0.23433876037597656,True,EleutherAI/pythia-1b-deduped,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 4]
[9 4] [0",-4.544429779052734,"[9, 4]",False,"[-6.723493576049805, -7.544927597045898, -1.8519935607910156, -3.972616195678711, -1.792501449584961, -7.895120620727539, -5.288484573364258, -5.973001480102539]",4,9 4],-1.792501449584961,False,EleutherAI/pythia-1b-deduped,
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"7 6]
[7 6] [3",-4.462465286254883,"[7, 6]",False,"[-3.5084915161132812, -6.656360626220703, -6.635322570800781, -6.164981842041016, -3.591794967651367, -7.224817276000977, -5.658845901489258, -5.723295211791992]",0,6 9],-3.5084915161132812,False,EleutherAI/pythia-1b-deduped,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 1]
[3 1] [2",-1.4402408599853516,"[2, 1]",False,"[-1.5702552795410156, -6.480276107788086, -7.912500381469727, -8.816726684570312, -9.902162551879883, -5.262582778930664, -12.137622833251953, -3.838979721069336]",0,2 0],-1.5702552795410156,True,EleutherAI/pythia-1b-deduped,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 10]",-1.5852108001708984,"[1, 8, 8]",True,"[-10.182971954345703, -7.1437835693359375, -12.252222061157227, -6.756294250488281, -10.015918731689453, -0.04602813720703125, -10.191469192504883, -11.14010238647461]",5,1 8 8],-0.04602813720703125,True,EleutherAI/pythia-1b-deduped,
