good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-14.723456382751465,-21.437992095947266,True,-1.7774429321289062,-2.690889358520508,-1.782339096069336,-2.6418609619140625,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-53.34296798706055,-62.15212631225586,True,-2.115335464477539,-2.622621536254883,-1.925638198852539,-2.378692626953125,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-44.54773712158203,-50.055484771728516,True,-2.176271438598633,-2.9659347534179688,-2.0725364685058594,-2.767911911010742,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-63.46861267089844,-66.4905776977539,True,-2.0526905059814453,-3.14266300201416,-1.9847755432128906,-3.062009811401367,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-62.81608581542969,-68.67909240722656,True,-2.1558361053466797,-3.1899518966674805,-2.322175979614258,-3.249051094055176,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-40.82386016845703,-45.276729583740234,True,-2.0559215545654297,-2.8458690643310547,-1.9530830383300781,-2.7091941833496094,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-26.909996032714844,-28.095813751220703,True,-2.1133480072021484,-2.817331314086914,-2.009798049926758,-2.7116127014160156,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-15.823031425476074,-19.55398178100586,True,-2.2523326873779297,-3.190121650695801,-2.164060592651367,-3.134706497192383,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-29.26231575012207,-33.51449966430664,True,-2.1179161071777344,-2.860363006591797,-2.0955371856689453,-2.77252197265625,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-48.13113784790039,-63.35163879394531,True,-2.3026161193847656,-3.019550323486328,-2.2257308959960938,-2.9165916442871094,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-28.60112190246582,-30.379009246826172,True,-2.127378463745117,-3.052305221557617,-2.089693069458008,-3.0453262329101562,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-22.124496459960938,-21.84018898010254,False,-1.5935249328613281,-2.668931007385254,-1.6066226959228516,-2.5323543548583984,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-23.931612014770508,-32.22285461425781,True,-2.053457260131836,-2.895933151245117,-2.1224327087402344,-3.0353927612304688,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14,paired,-39.373008728027344,-42.04396057128906,True,-2.152233123779297,-2.9467926025390625,-1.9943809509277344,-2.7283496856689453,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15,paired,-42.09956359863281,-41.54711151123047,False,-2.170259475708008,-3.2171812057495117,-2.1492767333984375,-3.225259780883789,False,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16,paired,-44.96726608276367,-44.379398345947266,False,-2.1006927490234375,-2.9612598419189453,-2.127870559692383,-2.918118476867676,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17,paired,-40.7885627746582,-54.66685485839844,True,-2.1989707946777344,-3.2587852478027344,-2.314861297607422,-3.4578170776367188,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18,paired,-30.042850494384766,-37.46908950805664,True,-2.1253395080566406,-3.0262413024902344,-2.2743968963623047,-3.110769271850586,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19,paired,-49.79408264160156,-47.691490173339844,False,-1.8177776336669922,-2.617494583129883,-1.8500213623046875,-2.595266342163086,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20,paired,-20.791133880615234,-24.03124237060547,True,-1.9823684692382812,-3.1167707443237305,-2.020030975341797,-3.15354061126709,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21,paired,-32.63548278808594,-33.33823013305664,True,-1.993673324584961,-2.8687591552734375,-1.9769363403320312,-2.771768569946289,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22,paired,-27.848241806030273,-29.66085433959961,True,-2.284046173095703,-3.184964179992676,-2.38287353515625,-3.1316356658935547,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23,paired,-33.70319747924805,-37.47116470336914,True,-2.223651885986328,-3.149205207824707,-2.131816864013672,-3.1196279525756836,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
The friend of Karen was bothered.,The friend of Karen was waved.,syntax,argument_structure,passive_2,348,24,paired,-39.84188461303711,-44.766990661621094,True,-2.3852462768554688,-3.5392675399780273,-2.324453353881836,-3.538994789123535,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,11,25,paired,-37.68505859375,-48.47262954711914,True,-2.4789466857910156,-3.393477439880371,-2.4282970428466797,-3.320990562438965,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
An eye opens.,An eye admires.,syntax,argument_structure,inchoative,974,26,paired,-16.9222354888916,-28.27198028564453,True,-2.0726318359375,-3.2957286834716797,-2.1702136993408203,-3.3793296813964844,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Kirsten isn't described by the mother of Rodney.,Kirsten isn't argued by the mother of Rodney.,syntax,argument_structure,passive_1,493,27,paired,-57.803367614746094,-60.14373016357422,True,-2.0116138458251953,-2.597187042236328,-2.047117233276367,-2.6738052368164062,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Lissa shuts a gate.,Lissa falls a gate.,syntax,argument_structure,causative,852,28,paired,-35.11478042602539,-40.35606384277344,True,-1.7747211456298828,-2.784332275390625,-1.6051998138427734,-2.602323532104492,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Tonya washed Teresa.,Tonya negotiates Teresa.,syntax,argument_structure,causative,274,29,paired,-29.529747009277344,-32.88892364501953,True,-2.4992904663085938,-3.3910694122314453,-2.5399017333984375,-3.5106000900268555,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Liam should shock Joseph's supervisors.,Liam should shrug Joseph's supervisors.,syntax,argument_structure,transitive,165,30,paired,-57.19853973388672,-64.8031005859375,True,-2.3226089477539062,-3.4025821685791016,-2.109649658203125,-3.2888622283935547,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
These waiters' plumbers were referenced.,These waiters' plumbers were left.,syntax,argument_structure,passive_2,906,31,paired,-52.63875198364258,-50.31947326660156,False,-2.0350284576416016,-2.81842041015625,-1.8351078033447266,-2.6600723266601562,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
That glass wasn't dropping.,That glass wasn't looking like.,syntax,argument_structure,inchoative,619,32,paired,-29.96514892578125,-34.50767135620117,True,-2.0387630462646484,-2.8214569091796875,-2.0529537200927734,-2.8283329010009766,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some ladies were accelerating many bikes.,Some ladies were vanishing many bikes.,syntax,argument_structure,causative,771,33,paired,-46.992897033691406,-50.1463508605957,True,-2.133960723876953,-3.0198440551757812,-2.159198760986328,-3.0122737884521484,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Claire wouldn't close many doors.,Claire wouldn't fall many doors.,syntax,argument_structure,causative,692,34,paired,-34.45913314819336,-41.87059783935547,True,-2.1885814666748047,-3.232696533203125,-2.203784942626953,-3.216761589050293,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Nicole wasn't descending.,Nicole wasn't returning to.,syntax,argument_structure,drop_argument,315,35,paired,-25.64739418029785,-29.353866577148438,True,-2.191478729248047,-2.8874874114990234,-2.3660812377929688,-3.029571533203125,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Margaret was watched by Carol.,Margaret was died by Carol.,syntax,argument_structure,passive_1,745,36,paired,-28.118803024291992,-35.99555206298828,True,-2.140226364135742,-3.086428642272949,-2.134737014770508,-3.0180397033691406,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Benjamin would wrinkle every scarf.,Benjamin would fall every scarf.,syntax,argument_structure,causative,4,37,paired,-41.141876220703125,-42.61963653564453,True,-2.321073532104492,-3.273273468017578,-2.380434036254883,-3.235300064086914,True,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
A lot of grandsons of Tara have helped.,A lot of grandsons of Tara have resembled.,syntax,argument_structure,drop_argument,439,38,paired,-51.457149505615234,-60.799007415771484,True,-1.9219741821289062,-2.5454673767089844,-2.0058860778808594,-2.6051025390625,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Vincent hated William.,Vincent grinned William.,syntax,argument_structure,transitive,197,39,paired,-30.378219604492188,-34.88264465332031,True,-1.8827438354492188,-3.241424560546875,-1.9134502410888672,-3.3117170333862305,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some pants folded.,Some pants admire.,syntax,argument_structure,inchoative,632,40,paired,-26.02182388305664,-32.56983947753906,True,-1.7898368835449219,-2.6980342864990234,-1.86572265625,-2.848764419555664,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Some dress dries.,Some dress messed up.,syntax,argument_structure,inchoative,403,41,paired,-28.57939338684082,-28.842241287231445,True,-1.9910087585449219,-2.865518569946289,-1.9283504486083984,-2.599679946899414,False,True,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
Many women joke around.,Many women care for.,syntax,argument_structure,intransitive,872,42,paired,-24.05559539794922,-25.265727996826172,True,-1.7567462921142578,-2.497814178466797,-1.815948486328125,-2.6166248321533203,True,False,True,False,False,True,EleutherAI/pythia-1.4b-deduped,
