item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-83.50662231445312,-83.56935119628906,True,-1.9284629821777344,-2.452609062194824,-1.9473505020141602,-2.4776601791381836,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-95.64153289794922,-100.96688079833984,True,-1.7829208374023438,-2.357006072998047,-1.8054265975952148,-2.3870010375976562,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-80.95538330078125,-84.74710083007812,True,-1.7205266952514648,-2.3137054443359375,-1.7418384552001953,-2.3451099395751953,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-97.54024505615234,-101.03348541259766,True,-1.6341361999511719,-2.3062963485717773,-1.6502361297607422,-2.3193721771240234,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-77.9919204711914,-82.98217010498047,True,-1.929361343383789,-2.5135717391967773,-1.9439935684204102,-2.546360969543457,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-95.10992431640625,-97.08203125,True,-1.6100482940673828,-2.224278450012207,-1.6276512145996094,-2.261617660522461,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-83.37671661376953,-87.6841049194336,True,-1.6438989639282227,-2.2677364349365234,-1.657761573791504,-2.300966262817383,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-88.5450439453125,-88.13929748535156,False,-1.705841064453125,-2.3571672439575195,-1.7560415267944336,-2.387448310852051,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-90.61663818359375,-94.50007629394531,True,-1.663050651550293,-2.395564079284668,-1.667877197265625,-2.4087018966674805,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-87.40576934814453,-90.83856201171875,True,-1.7457847595214844,-2.4300994873046875,-1.7570724487304688,-2.4386768341064453,True,False,True,False,False,True,EleutherAI/pythia-2.8b-deduped,
