item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-81.5546875,-84.046875,True,-1.5078125,-2.859375,-1.5234375,-2.875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-95.3125,-99.8125,True,-1.5546875,-2.9921875,-1.4296875,-2.9296875,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-82.4609375,-87.5,True,-1.4375,-2.8046875,-1.4765625,-2.8359375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-92.390625,-97.78125,True,-1.9453125,-3.1015625,-1.9140625,-3.1328125,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-77.11328125,-81.55859375,True,-1.4140625,-2.6953125,-1.421875,-2.703125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-93.828125,-98.203125,True,-1.78125,-3.0625,-1.71875,-3.0390625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-86.40625,-91.3203125,True,-1.6640625,-2.734375,-1.7109375,-2.7109375,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-88.71875,-92.6171875,True,-1.3671875,-2.6875,-1.2890625,-2.6953125,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-91.89453125,-96.63671875,True,-1.75,-2.9921875,-1.8515625,-3.09375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-87.55078125,-91.02734375,True,-1.671875,-2.90625,-1.796875,-3.046875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
10,Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page,paired,-127.625,-111.1328125,False,-1.734375,-3.1015625,-1.8125,-2.9375,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
11,Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago,paired,-106.27734375,-99.27734375,False,-1.859375,-3.3671875,-2.1015625,-3.4375,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
12,Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours,paired,-95.578125,-84.78125,False,-1.953125,-3.1328125,-1.9765625,-2.9296875,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
13,Center Embedding,TS 4,grammatical,The crime that the gangster who the story had profiled had planned for weeks was quickly solved,The crime that the gangster who the story had profiled was quickly solved,paired,-89.6640625,-75.421875,False,-1.7578125,-3.015625,-1.703125,-2.7890625,False,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
14,Center Embedding,TS 5,grammatical,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,paired,-101.984375,-101.984375,False,-1.78125,-2.9375,-1.78125,-2.9375,False,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
15,Center Embedding,TS 6,ungrammatical,The trophy that the athlete who the restaurant had hired as a spokesman cherished was stolen later,The trophy that the athlete who the restaurant had hired as a spokesman was stolen later,paired,-93.5390625,-91.390625,False,-1.6640625,-2.9453125,-1.71875,-2.9140625,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
16,Center Embedding,TS 7,ungrammatical,The apartment that the maid who the service had sent over cleaned was well decorated,The apartment that the maid who the service had sent over was well decorated,paired,-74.55078125,-72.20703125,False,-1.546875,-2.6796875,-1.640625,-2.6640625,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
17,Center Embedding,TS 8,ungrammatical,The shirt that the seamstress who the immigration officer had investigated last week wore needed to be dry cleaned,The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned,paired,-92.2421875,-91.28125,False,-1.4609375,-3.0703125,-1.59375,-3.1328125,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
18,Center Embedding,TS 9,ungrammatical,The lecture that the professor who the newspaper story had just profiled in detail delivered was not well attended,The lecture that the professor who the newspaper story had just profiled in detail was not well attended,paired,-86.97265625,-85.50390625,False,-1.8828125,-3.0703125,-2.0546875,-3.046875,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
19,Center Embedding,TS 10,ungrammatical,The novel that the horror author who the publishing company had recently fired wrote last year was banned by the local library,The novel that the horror author who the publishing company had recently fired was banned by the local library,paired,-98.79296875,-90.87890625,False,-1.765625,-3.2578125,-1.796875,-3.1875,True,True,True,False,False,True,EleutherAI/pythia-12b-deduped,
20,Comparative Sentences,TS 1,grammatical,More gym instructors won a marathon yesterday than lawyers did,More gym instructors won a marathon yesterday than Nikhil did,paired,-66.1328125,-71.28125,True,-1.34375,-2.765625,-1.5625,-2.9296875,True,False,True,False,False,True,EleutherAI/pythia-12b-deduped,
