problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision,instruct
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-1.9256782531738281,[3],True,"[-7.309486389160156, -6.296882629394531, -4.877388000488281, -0.07165336608886719, -4.365741729736328, -5.499818801879883, -4.1684417724609375, -5.118646621704102]",3,3],-0.07165336608886719,True,allenai/OLMo-7B,step211000-tokens933B,False
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.2763481140136719,[6],True,"[-4.565700531005859, -5.063146591186523, -5.026906967163086, -4.69999885559082, -5.056455612182617, -3.546384811401367, -0.11809730529785156, -3.718496322631836]",6,6],-0.11809730529785156,True,allenai/OLMo-7B,step211000-tokens933B,False
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.6586380004882812,[2],True,"[-0.8757591247558594, -2.8908023834228516, -2.8980884552001953, -3.1521663665771484, -4.072307586669922, -3.236745834350586, -3.3240737915039062, -2.684307098388672]",0,2],-0.8757591247558594,True,allenai/OLMo-7B,step211000-tokens933B,False
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[1] [9] [",-2.2872486114501953,[9],True,"[-4.093549728393555, -3.9261646270751953, -5.074275970458984, -3.5201473236083984, -3.734945297241211, -0.21838951110839844, -3.8631744384765625, -4.01679801940918]",5,9],-0.21838951110839844,True,allenai/OLMo-7B,step211000-tokens933B,False
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-1.0758819580078125,[4],True,"[-2.301340103149414, -5.122303009033203, -3.9068431854248047, -3.016092300415039, -0.4372367858886719, -6.630339622497559, -5.453046798706055, -7.593001365661621]",4,4],-0.4372367858886719,True,allenai/OLMo-7B,step211000-tokens933B,False
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.8136539459228516,[8],True,"[-1.8204765319824219, -4.123258590698242, -4.524030685424805, -3.481008529663086, -4.39910888671875, -3.9781951904296875, -0.4332408905029297, -3.131328582763672]",6,8],-0.4332408905029297,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.24158287048339844,"[6, 9]",True,"[-8.647783279418945, -5.019746780395508, -6.2436370849609375, -7.803556442260742, -9.688705444335938, -8.83714485168457, -0.10500907897949219, -8.122058868408203]",6,6 9],-0.10500907897949219,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[5 3] [6",-4.730052947998047,"[1, 2]",True,"[-0.9507942199707031, -8.850902557373047, -6.504894256591797, -5.806308746337891, -8.838119506835938, -7.787782669067383, -8.154287338256836, -8.079032897949219]",0,1 2],-0.9507942199707031,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 4] [1",-3.0790843963623047,"[1, 0]",True,"[-4.925539016723633, -4.909910202026367, -7.706584930419922, -7.531049728393555, -7.022638320922852, -6.063497543334961, -11.21042251586914, -0.20763015747070312]",7,1 0],-0.20763015747070312,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[0 3] [8",-3.965524673461914,"[9, 1]",True,"[-6.943027496337891, -5.412700653076172, -0.8754615783691406, -3.4127140045166016, -2.272979736328125, -8.232034683227539, -4.082241058349609, -4.451887130737305]",2,9 1],-0.8754615783691406,True,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"9 7]
[3 9] [5",-4.402202606201172,"[9, 7]",False,"[-5.596887588500977, -7.425676345825195, -7.016300201416016, -4.379631042480469, -5.17218017578125, -5.872640609741211, -3.952169418334961, -7.157955169677734]",6,3 5],-3.952169418334961,False,allenai/OLMo-7B,step211000-tokens933B,False
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1] [2",-0.6081047058105469,"[2, 0]",True,"[-0.35712242126464844, -6.966770172119141, -9.406744003295898, -7.145071029663086, -9.323747634887695, -7.125337600708008, -10.76415729522705, -7.256036758422852]",0,2 0],-0.35712242126464844,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 4 10]",-1.5646343231201172,"[1, 8, 8]",True,"[-10.420404434204102, -6.847299575805664, -11.492033004760742, -7.731575012207031, -12.410400390625, -0.04175376892089844, -12.214029312133789, -13.673116683959961]",5,1 8 8],-0.04175376892089844,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 0]
[3 2 4]",-3.2926025390625,"[6, 9, 0]",True,"[-9.276203155517578, -12.267404556274414, -10.773906707763672, -9.18522834777832, -11.707759857177734, -1.0574092864990234, -11.895231246948242, -9.100425720214844]",5,6 9 0],-1.0574092864990234,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 6 3]",-2.3892669677734375,"[0, 0, 1]",True,"[-9.835746765136719, -0.7833900451660156, -3.8382530212402344, -12.745698928833008, -13.212411880493164, -11.207138061523438, -9.817646026611328, -12.345657348632812]",1,0 0 1],-0.7833900451660156,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 1 8]
[9 1 8]",-5.5805206298828125,"[5, 1, 8]",False,"[-9.19918441772461, -8.184375762939453, -10.26692008972168, -7.295679092407227, -5.161592483520508, -3.9880905151367188, -7.953798294067383, -3.1606616973876953]",7,5 1 7],-3.1606616973876953,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"8 1 0]
[7 2 0]",-5.790302276611328,"[8, 1, 0]",False,"[-8.490657806396484, -7.446800231933594, -7.021915435791016, -4.249591827392578, -6.969970703125, -5.719539642333984, -7.899774551391602, -8.310802459716797]",3,8 7 0],-4.249591827392578,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 0 7]
[1 2 4]",-2.301607131958008,"[5, 0, 7]",True,"[-16.102432250976562, -0.3329601287841797, -7.644350051879883, -4.844425201416016, -8.297582626342773, -11.272684097290039, -6.944938659667969, -15.655206680297852]",1,5 0 7],-0.3329601287841797,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6]
[3 9 6]",-3.9099788665771484,"[0, 1, 6]",True,"[-10.327077865600586, -7.179527282714844, -14.097846984863281, -7.63880729675293, -0.9134426116943359, -8.975093841552734, -10.980216979980469, -8.395709991455078]",4,0 1 6],-0.9134426116943359,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"9 4 6]
[6 9 4]",-4.556812286376953,"[9, 4, 6]",False,"[-7.618051528930664, -7.775516510009766, -7.30439567565918, -4.69316291809082, -4.778387069702148, -9.529983520507812, -7.129199981689453, -6.825370788574219]",3,5 4 8],-4.69316291809082,True,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 3 7]
[7 3 8]",-5.716920852661133,"[8, 3, 7]",False,"[-4.663774490356445, -7.671474456787109, -6.06231689453125, -5.1231536865234375, -6.513893127441406, -5.433307647705078, -4.088171005249023, -7.71728515625]",6,8 3 3],-4.088171005249023,False,allenai/OLMo-7B,step211000-tokens933B,False
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 5 3]
[6 6 4]",-1.4593849182128906,"[5, 5, 3]",False,"[-6.135316848754883, -8.156892776489258, -4.20527458190918, -6.879995346069336, -3.784269332885742, -5.649986267089844, -8.930593490600586, -6.367694854736328]",4,5 7 3],-3.784269332885742,True,allenai/OLMo-7B,step211000-tokens933B,False
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 1]
[4 6] [1",-6.113969802856445,[1 6],False,"[-6.137855529785156, -3.815227508544922, -3.685972213745117, -5.228322982788086, -4.301311492919922, 0.0, -2.595602035522461, -9.866209030151367]",5,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
c1_set_union,0,c1_set_union_0,True,[4],"4]
[7 6] [7]",-3.6948719024658203,[4],True,"[-6.5691375732421875, -8.87251091003418, -3.572467803955078, -0.1445026397705078, -6.751575469970703, -5.858612060546875, -7.060279846191406, -8.856008529663086]",3,4],-0.1445026397705078,True,allenai/OLMo-7B,step211000-tokens933B,False
c2_set_union,0,c2_set_union_0,True,[9],"9]
[6] [6 9]",-6.562124252319336,[9],True,"[-6.03386116027832, 0.0, -1.0177574157714844, -5.275535583496094, -3.7578182220458984, -4.927679061889648, -3.0877647399902344, -4.60120964050293]",1,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
AND,0,AND_0,True,[4],"4]
[1 4 5] [6",-2.5087528228759766,[4],True,"[-10.479320526123047, -6.248964309692383, -14.121683120727539, -3.5592193603515625, -9.566343307495117, -0.243255615234375, -5.794586181640625, -8.381410598754883]",5,4],-0.243255615234375,True,allenai/OLMo-7B,step211000-tokens933B,False
XOR,0,XOR_0,True,[4 3],"3 6]
[3 6] [1",-4.426538467407227,[3 6],False,"[-17.790008544921875, -8.878032684326172, -8.267126083374023, -8.331037521362305, -3.5760555267333984, -2.595071792602539, -3.575674057006836, -10.985495567321777]",5,6 1],-2.595071792602539,False,allenai/OLMo-7B,step211000-tokens933B,False
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"3 5]
[3 5] [2",-7.166524887084961,[3 5],False,"[0.0, -9.070110321044922, -3.0496978759765625, -5.05817985534668, -3.4600982666015625, -7.133338928222656, -13.525691032409668, -5.616918563842773]",0,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],"1 6] [1 5]
[1",-7.428974151611328,[1 6],False,"[-3.864337921142578, -3.3011245727539062, -3.2367172241210938, -8.240713119506836, -4.572174072265625, -4.583211898803711, -4.428522109985352, -7.889232635498047]",2,6 1],-3.2367172241210938,False,allenai/OLMo-7B,step211000-tokens933B,False
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"0]
[0 9] [9]",-5.306545257568359,[0],True,"[-4.323879241943359, -3.7808189392089844, -4.209827423095703, -1.2411212921142578, -4.903419494628906, -1.972412109375, -8.576242446899414, 0.0]",7,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
XOR_permuted,0,XOR_permuted_0,True,[4 0],"4 6]
[8 4] [4",-4.424961090087891,[4 6],False,"[-18.935962677001953, -2.4518604278564453, -9.901774406433105, -14.353191375732422, -3.206066131591797, -2.7368011474609375, 0.0, -12.250269889831543]",6,],0.0,False,allenai/OLMo-7B,step211000-tokens933B,False
AND_permuted,0,AND_permuted_0,True,[],"3] [9]
[2] [",-4.9479827880859375,[3],False,"[-6.76545524597168, -5.067510604858398, -14.631986618041992, -15.017265319824219, 0.0, -10.914613723754883, -1.0059356689453125, -5.495473861694336]",4,],0.0,True,allenai/OLMo-7B,step211000-tokens933B,False
row_constant,1,row_constant_1,False,[4],"4]
[2] [2] [",-2.3019981384277344,[4],True,"[-5.279539108276367, -5.324041366577148, -6.539133071899414, -4.987529754638672, -6.248464584350586, -0.05702400207519531, -4.62816047668457, -4.089881896972656]",5,4],-0.05702400207519531,True,allenai/OLMo-7B,step211000-tokens933B,False
col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.20838546752929688,[9],True,"[-0.11104202270507812, -5.399393081665039, -3.8613452911376953, -4.718477249145508, -4.284091949462891, -5.50806999206543, -4.4327850341796875, -4.846954345703125]",0,9],-0.11104202270507812,True,allenai/OLMo-7B,step211000-tokens933B,False
dist3_diag1,1,dist3_diag1_1,False,[4],"4]
[4] [2] [",-2.1474971771240234,[4],True,"[-4.362394332885742, -2.3539295196533203, -3.8038787841796875, -4.987550735473633, -0.293701171875, -4.523252487182617, -4.745683670043945, -4.436023712158203]",4,4],-0.293701171875,True,allenai/OLMo-7B,step211000-tokens933B,False
dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[3] [6] [",-2.6753158569335938,[5],True,"[-0.4109077453613281, -4.5790863037109375, -3.488862991333008, -3.406309127807617, -2.956043243408203, -2.246488571166992, -3.1392974853515625, -3.0777339935302734]",0,5],-0.4109077453613281,True,allenai/OLMo-7B,step211000-tokens933B,False
prog_size1,1,prog_size1_1,False,[5],"5]
[4] [5] [",-0.7321414947509766,[5],True,"[-3.422788619995117, -4.758588790893555, -4.368621826171875, -3.424907684326172, -3.093385696411133, -4.3426666259765625, -0.3295173645019531, -2.140869140625]",6,5],-0.3295173645019531,True,allenai/OLMo-7B,step211000-tokens933B,False
prog_size2,1,prog_size2_1,False,[9],"9]
[7] [9] [",-1.4649734497070312,[9],True,"[-2.9840545654296875, -2.4233245849609375, -0.9287109375, -3.964578628540039, -3.8502330780029297, -1.3693656921386719, -4.248537063598633, -3.9366836547851562]",2,9],-0.9287109375,True,allenai/OLMo-7B,step211000-tokens933B,False
