item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-87.55156707763672,-89.47625732421875,True,-2.7712268829345703,-2.4236412048339844,-2.844240188598633,-2.4564895629882812,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-97.00410461425781,-99.77653503417969,True,-2.9244461059570312,-2.4649410247802734,-3.0215187072753906,-2.563770294189453,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-84.04086303710938,-87.02021789550781,True,-2.4423885345458984,-2.507112503051758,-2.567157745361328,-2.5125064849853516,True,False,True,True,True,True,meta-llama/Llama-2-7b-hf,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-96.72602081298828,-101.04349517822266,True,-2.7709808349609375,-2.4204959869384766,-2.8340492248535156,-2.4204559326171875,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-80.27192687988281,-84.61408233642578,True,-2.602876663208008,-2.4025115966796875,-2.742216110229492,-2.408170700073242,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-94.8943862915039,-99.33674621582031,True,-2.739206314086914,-2.396329879760742,-2.6278915405273438,-2.4349212646484375,False,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-93.45972442626953,-96.11859893798828,True,-2.8209762573242188,-2.6673030853271484,-2.9716320037841797,-2.690509796142578,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-96.28067779541016,-98.85385131835938,True,-2.522541046142578,-2.4380054473876953,-2.637502670288086,-2.3577346801757812,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-94.81745147705078,-96.16828918457031,True,-2.604879379272461,-2.4316864013671875,-2.7169437408447266,-2.461395263671875,True,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-89.79753875732422,-95.2800521850586,True,-2.8226146697998047,-2.702608108520508,-2.9369049072265625,-2.681131362915039,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
10,Center Embedding,TS 1,grammatical,The ancient manuscript that the grad student who the new card catalog had confused a great deal was studying in the library was missing a page,The ancient manuscript that the grad student who the new card catalog had confused a great deal was missing a page,paired,-127.22808074951172,-115.65129089355469,False,-2.943256378173828,-2.624673843383789,-3.0210399627685547,-2.5015430450439453,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
11,Center Embedding,TS 2,grammatical,The lullaby that the famous country singer who the record label had signed to a big contract was singing yesterday was written seventy years ago,The lullaby that the famous country singer who the record label had signed to a big contract was written seventy years ago,paired,-106.29641723632812,-97.61552429199219,False,-3.023221969604492,-2.598142623901367,-3.1125030517578125,-2.5865554809570312,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
12,Center Embedding,TS 3,grammatical,The game that the child who the lawnmower had startled in the yard was playing in the morning lasted for hours,The game that the child who the lawnmower had startled in the yard lasted for hours,paired,-101.58391571044922,-91.25841522216797,False,-2.9823665618896484,-2.669679641723633,-2.9659595489501953,-2.4897327423095703,False,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
13,Center Embedding,TS 4,grammatical,The crime that the gangster who the story had profiled had planned for weeks was quickly solved,The crime that the gangster who the story had profiled was quickly solved,paired,-92.44062805175781,-79.7987060546875,False,-2.7590503692626953,-2.5060768127441406,-2.7332210540771484,-2.347005844116211,False,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
14,Center Embedding,TS 5,grammatical,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,The picture that the artist who the school had expelled for cheating was hurriedly copying was printed in a magazine,paired,-108.54374694824219,-108.54374694824219,False,-3.0022926330566406,-2.809396743774414,-3.0022926330566406,-2.809396743774414,False,False,False,True,False,True,meta-llama/Llama-2-7b-hf,
15,Center Embedding,TS 6,ungrammatical,The trophy that the athlete who the restaurant had hired as a spokesman cherished was stolen later,The trophy that the athlete who the restaurant had hired as a spokesman was stolen later,paired,-98.6450424194336,-92.73980712890625,False,-2.8849868774414062,-2.6474227905273438,-2.928037643432617,-2.5633468627929688,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
16,Center Embedding,TS 7,ungrammatical,The apartment that the maid who the service had sent over cleaned was well decorated,The apartment that the maid who the service had sent over was well decorated,paired,-84.98474884033203,-80.7975845336914,False,-2.9138107299804688,-2.6108226776123047,-2.8890113830566406,-2.5034542083740234,False,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
17,Center Embedding,TS 8,ungrammatical,The shirt that the seamstress who the immigration officer had investigated last week wore needed to be dry cleaned,The shirt that the seamstress who the immigration officer had investigated last week needed to be dry cleaned,paired,-95.24189758300781,-93.99837493896484,False,-2.947965621948242,-2.482473373413086,-2.918771743774414,-2.4510726928710938,False,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
18,Center Embedding,TS 9,ungrammatical,The lecture that the professor who the newspaper story had just profiled in detail delivered was not well attended,The lecture that the professor who the newspaper story had just profiled in detail was not well attended,paired,-90.37285614013672,-88.62196350097656,False,-2.7675628662109375,-2.464296340942383,-2.832509994506836,-2.3673648834228516,True,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
19,Center Embedding,TS 10,ungrammatical,The novel that the horror author who the publishing company had recently fired wrote last year was banned by the local library,The novel that the horror author who the publishing company had recently fired was banned by the local library,paired,-95.00704956054688,-89.70661926269531,False,-2.9761905670166016,-2.6173763275146484,-2.969209671020508,-2.5500030517578125,False,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
20,Comparative Sentences,TS 1,grammatical,More gym instructors won a marathon yesterday than lawyers did,More gym instructors won a marathon yesterday than Nikhil did,paired,-73.06517028808594,-85.97618103027344,True,-2.5657176971435547,-2.5048770904541016,-2.5128555297851562,-2.3875961303710938,False,True,False,True,False,True,meta-llama/Llama-2-7b-hf,
