item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision,instruct
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-2.902729034423828,-13.467279434204102,8.728780085220933e-05,0.6527995389726318,0.0,0.3496909690969096,0.00036215474985905685,allenai/OLMo-7B,step211000-tokens933B,False
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-2.068545341491699,-2.424647331237793,4.145108687225729e-05,0.7619288564071062,0.0,0.15903990399039902,0.11399676875300181,allenai/OLMo-7B,step211000-tokens933B,False
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.3388652801513672,-5.953522682189941,0.00010794460104079917,0.6195020604513408,0.0,0.28794479447944793,0.0036720770178729355,allenai/OLMo-7B,step211000-tokens933B,False
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-1.7044410705566406,-2.99678897857666,3.725711576407775e-05,0.7033866060473914,0.0,0.3105670567056706,0.0016621669924218043,allenai/OLMo-7B,step211000-tokens933B,False
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-0.7694368362426758,-8.263641357421875,0.00011145049938932061,0.5540017448907513,0.0,0.17269726972697266,0.08576097703609444,allenai/OLMo-7B,step211000-tokens933B,False
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-1.8139677047729492,-3.5150604248046875,4.7396628360729665e-05,0.7767180721594216,0.0,0.24337233723372337,0.01469008718701409,allenai/OLMo-7B,step211000-tokens933B,False
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-1.1758718490600586,-4.198647499084473,6.86277708155103e-05,0.6713337256980454,0.0,0.38880288028802873,6.398287160562678e-05,allenai/OLMo-7B,step211000-tokens933B,False
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.4607105255126953,-3.421441078186035,5.312214125297032e-05,0.5966140462603791,0.0,0.42972697269726967,8.129103266858661e-06,allenai/OLMo-7B,step211000-tokens933B,False
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-1.1163597106933594,-5.846649169921875,6.848417251603678e-05,0.7185357527616218,0.0,0.5884548454845484,1.2074829607055897e-10,allenai/OLMo-7B,step211000-tokens933B,False
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-1.9101667404174805,-6.692275047302246,5.691128899343312e-05,0.6188507791743819,0.0,0.4501410141014101,2.615740361997673e-06,allenai/OLMo-7B,step211000-tokens933B,False
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the",fights,-1.9021968841552734,-9.2404146194458,8.961126150097698e-05,0.6859563618067042,0.0,0.04238823882388239,0.6754051152948428,allenai/OLMo-7B,step211000-tokens933B,False
11,"Instead, I stare straight ahead like I'm deeply interested in what's going on at the front of the room.

Eventually, we make it through to the part where everyone stands up and says their little piece. Some have a longer, more in depth story to tell, which terrifies me. I don't want anyone to ask me for my",story,-0.9087562561035156,-10.557644844055176,0.0001526063570054248,0.5616919377866026,0.0,0.02997899789978998,0.7671633112721101,allenai/OLMo-7B,step211000-tokens933B,False
