condition,item_id,question,correct,intuitive,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,model,revision
crt2,1,"How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4 hours," It takes 4 people 4 hours to tailor 4 jackets.
Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
Question: How long does it take 4 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?
",It takes 4 people 4 hours to tailor 4 jackets.,intuitive,intuitive,"[-2.1503148078918457, -2.4821043014526367]","['correct', 'intuitive']",-2.150314808,-2.482104301,0,correct,7 hours,-2.150314808,TRUE,allenai/OLMo-7B,
crt2,2,"How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",8 hours,4 hours," It takes 4 washing machines 4 hours to wash 4 loads of laundry.
Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer: It takes 4 washing machines 4 hours to wash 4 loads of laundry.
Question: How long does it take 4 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?
Answer:",It takes 4 washing machines 4 hours to wash 4 loads of laundry.,intuitive,intuitive,"[-2.2000293731689453, -2.1052565574645996]","['correct', 'intuitive']",-2.200029373,-2.105256557,1,intuitive,4 hours,-2.105256557,FALSE,allenai/OLMo-7B,
crt2,3,"How long does it take 50 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",60 minutes,50 minutes," 50 bees pollinate 50 flowers in 60 minutes.
Question: How many bees are needed to pollinate 50 flowers in 60 minutes?
Answer: 50 bees pollinate 50 flowers in 60 minutes.
Question: How many bees are needed to pollinate 50 flowers in 60 minutes if it takes 60 bees 60 minutes to pollinate 60 flowers?
Answer: 50 bees pollinate 50 flowers in 60 minutes.
Question: How many bees are needed to pollinate",50 bees pollinate 50 flowers in 60 minutes.,correct,correct,"[-3.1313047409057617, -2.612213134765625]","['correct', 'intuitive']",-3.131304741,-2.612213135,1,intuitive,50 minutes,-2.612213135,FALSE,allenai/OLMo-7B,
crt2,4,"How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",5 days,1 day," It takes 1 carpenter 1 day to make 1 chair.
Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: It takes 1 carpenter 1 day to make 1 chair.
Question: How long does it take 1 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?
Answer: It takes 1 carpenter 1 day to make 1",It takes 1 carpenter 1 day to make 1 chair.,intuitive,intuitive,"[-1.7483091354370117, -2.2275924682617188]","['correct', 'intuitive']",-1.748309135,-2.227592468,0,correct,5 days,-1.748309135,TRUE,allenai/OLMo-7B,
crt2,5,"How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",60 minutes,10 minutes," It takes 10 ovens 10 minutes to bake 10 lasagnas.
Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer: It takes 10 ovens 10 minutes to bake 10 lasagnas.
Question: How long does it take 10 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?
Answer:",It takes 10 ovens 10 minutes to bake 10 lasagnas.,intuitive,intuitive,"[-2.0756101608276367, -2.5304064750671387]","['correct', 'intuitive']",-2.075610161,-2.530406475,0,correct,60 minutes,-2.075610161,TRUE,allenai/OLMo-7B,
crt2,6,"How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",6 years,1 year," It takes 1 researcher 6 years to publish 1 paper.
Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?
Answer: It takes 1 researcher 6 years to publish 1 paper.
Question: How long does it take 1 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?
Answer: It takes 1 researcher 6 years to publish 1 paper.
Question: How long does it",It takes 1 researcher 6 years to publish 1 paper.,correct,correct,"[-1.811147689819336, -2.1907777786254883]","['correct', 'intuitive']",-1.81114769,-2.190777779,0,correct,6 years,-1.81114769,TRUE,allenai/OLMo-7B,
crt2,7,"How long does it take 30 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",50 hours,30 hours," 30 rooms x 30 cleaners = 900 cleaners.
Question: How many cleaners are needed to clean 30 rooms in 50 hours?
Answer: 900 cleaners x 50 hours = 45,000 cleaners.
Question: How many cleaners are needed to clean 30 rooms in 50 hours?
Answer: 900 cleaners x 50 hours = 45,000 cleaners.
Question: How many cleaners are needed to clean 30 rooms in 50 hours?
Answer: 900 cleaners",30 rooms x 30 cleaners = 900 cleaners.,,,"[-3.0205960273742676, -2.682036876678467]","['correct', 'intuitive']",-3.020596027,-2.682036877,1,intuitive,30 hours,-2.682036877,FALSE,allenai/OLMo-7B,
crt2,8,"How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",70 minutes,40 minutes," It takes 40 students 40 minutes to change 40 light bulbs.
Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: It takes 40 students 40 minutes to change 40 light bulbs.
Question: How long does it take 40 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?
Answer: It takes 40 students 40 minutes to change 40 light bulbs.",It takes 40 students 40 minutes to change 40 light bulbs.,intuitive,intuitive,"[-2.8552751541137695, -2.5605335235595703]","['correct', 'intuitive']",-2.855275154,-2.560533524,1,intuitive,40 minutes,-2.560533524,FALSE,allenai/OLMo-7B,
crt2,9,"How long does it take 40 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",50 weeks,40 weeks," It takes 40 builders 40 weeks to build 40 houses.
Question: How long does it take 50 builders to build 50 houses, if it takes 40 builders 50 weeks to build 50 houses?
Answer: It takes 50 builders 50 weeks to build 50 houses.
Question: How long does it take 100 builders to build 100 houses, if it takes 50 builders 50 weeks to build 50 houses?
Answer: It takes 100 builders 100 weeks to build 100 houses.
Question: How long does it",It takes 40 builders 40 weeks to build 40 houses.,intuitive,intuitive,"[-2.4694108963012695, -2.1212587356567383]","['correct', 'intuitive']",-2.469410896,-2.121258736,1,intuitive,40 weeks,-2.121258736,FALSE,allenai/OLMo-7B,
crt2,10,"How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",6 minutes,5 minutes," It takes 5 people 5 minutes to plant 5 trees.
Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Question: How long does it take 5 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?
Question: How long does it take",It takes 5 people 5 minutes to plant 5 trees.,intuitive,intuitive,"[-2.314915180206299, -2.0322113037109375]","['correct', 'intuitive']",-2.31491518,-2.032211304,1,intuitive,5 minutes,-2.032211304,FALSE,allenai/OLMo-7B,
crt2,11,"How long does it take 30 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?",40 minutes,30 minutes," It takes 30 coffee machines 30 minutes to make 30 coffees.
Question: How long does it take 30 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?
Answer: It takes 30 coffee machines 30 minutes to make 30 coffees.
Question: How long does it take 30 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?
Answer:",It takes 30 coffee machines 30 minutes to make 30 coffees.,intuitive,intuitive,"[-2.35526180267334, -2.507378101348877]","['correct', 'intuitive']",-2.355261803,-2.507378101,0,correct,40 minutes,-2.355261803,TRUE,allenai/OLMo-7B,
crt2,12,"How long does it take 5 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of chocolates?",8 minutes,5 minutes," It takes 5 machines 5 minutes to pack 5 boxes of chocolates.
Question: How long does it take 5 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of chocolates?
Answer: It takes 5 machines 5 minutes to pack 5 boxes of chocolates.
Question: How long does it take 5 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of ch",It takes 5 machines 5 minutes to pack 5 boxes of chocolates.,intuitive,intuitive,"[-2.2730751037597656, -2.319098949432373]","['correct', 'intuitive']",-2.273075104,-2.319098949,0,correct,8 minutes,-2.273075104,TRUE,allenai/OLMo-7B,
crt2,13,"How long does it take 10 children to eat 10 boxes of chocolates, if it takes 50 children 50 minutes to eat 50 boxes of chocolates?",50 minutes,10 minutes," It takes 10 children 10 minutes to eat 10 boxes of chocolates.
Question: How long does it take 10 children to eat 10 boxes of chocolates, if it takes 50 children 50 minutes to eat 50 boxes of chocolates?
Answer: It takes 10 children 10 minutes to eat 10 boxes of chocolates.
Question: How long does it take 10 children to eat 10 boxes of chocolates, if it takes 50 children 50 minutes to eat 50 boxes of ch",It takes 10 children 10 minutes to eat 10 boxes of chocolates.,intuitive,intuitive,"[-2.058919906616211, -2.3298840522766113]","['correct', 'intuitive']",-2.058919907,-2.329884052,0,correct,50 minutes,-2.058919907,TRUE,allenai/OLMo-7B,
