problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[5] [5] [",-1.5669364929199219,[3],True,"[-7.053293228149414, -6.17881965637207, -5.514951705932617, -0.07979583740234375, -4.138500213623047, -4.523738861083984, -3.749177932739258, -5.498369216918945]",3,3],-0.07979583740234375,True,EleutherAI/pythia-1.4b-deduped,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.5616264343261719,[6],True,"[-4.938304901123047, -5.110818862915039, -5.509981155395508, -5.040681838989258, -5.009977340698242, -3.8336563110351562, -0.08739471435546875, -4.11857795715332]",6,6],-0.08739471435546875,True,EleutherAI/pythia-1.4b-deduped,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[5] [6] [",-3.244678497314453,[2],True,"[-1.2241191864013672, -2.1002044677734375, -2.5077762603759766, -2.141519546508789, -1.9409217834472656, -4.819826126098633, -4.178396224975586, -2.455606460571289]",0,2],-1.2241191864013672,True,EleutherAI/pythia-1.4b-deduped,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[9] [6] [",-2.2922916412353516,[9],True,"[-3.8877506256103516, -4.130975723266602, -4.336408615112305, -3.9825363159179688, -2.844005584716797, -0.27223968505859375, -4.356433868408203, -3.9359378814697266]",5,9],-0.27223968505859375,True,EleutherAI/pythia-1.4b-deduped,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-1.2277183532714844,[4],True,"[-2.389616012573242, -4.423961639404297, -5.985426902770996, -3.331878662109375, -0.3163280487060547, -7.471209526062012, -6.986820220947266, -8.484419822692871]",4,4],-0.3163280487060547,True,EleutherAI/pythia-1.4b-deduped,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-2.0357303619384766,[8],True,"[-2.901233673095703, -2.9343929290771484, -4.081438064575195, -2.4887828826904297, -4.284952163696289, -1.9377288818359375, -0.7455177307128906, -3.376180648803711]",6,8],-0.7455177307128906,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6] [2",-0.49492835998535156,"[6, 9]",True,"[-8.878408432006836, -5.964929580688477, -8.470449447631836, -8.00901985168457, -9.02849006652832, -9.42318344116211, -0.12443351745605469, -9.166238784790039]",6,6 9],-0.12443351745605469,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 6] [6",-4.579490661621094,"[1, 2]",True,"[-1.0946502685546875, -9.434114456176758, -5.284585952758789, -5.06736946105957, -7.354301452636719, -8.477251052856445, -9.096527099609375, -8.837873458862305]",0,1 2],-1.0946502685546875,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 4] [1",-2.558399200439453,"[1, 0]",True,"[-6.493434906005859, -5.984447479248047, -7.904497146606445, -10.037639617919922, -7.070280075073242, -6.701360702514648, -12.66994857788086, -0.05629158020019531]",7,1 0],-0.05629158020019531,True,EleutherAI/pythia-1.4b-deduped,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 2]
[9 2] [0",-3.8996334075927734,"[9, 2]",False,"[-7.874082565307617, -8.16990852355957, -2.4893627166748047, -5.921928405761719, -5.14472770690918, -7.542413711547852, -5.474336624145508, -8.549299240112305]",2,9 1],-2.4893627166748047,True,EleutherAI/pythia-1.4b-deduped,
