good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1,paired,-25.620098114013672,-37.0805778503418,True,-1.4743337631225586,-2.6383962631225586,-1.5484962463378906,-2.4469337463378906,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2,paired,-64.03974151611328,-73.90966796875,True,-1.5118694305419922,-2.769681930541992,-1.5128040313720703,-2.5674915313720703,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3,paired,-55.98089599609375,-63.20578384399414,True,-1.5992059707641602,-2.77108097076416,-1.6592378616333008,-2.698300361633301,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4,paired,-67.6001968383789,-69.55602264404297,True,-1.5504655838012695,-2.7848405838012695,-1.6222429275512695,-2.7784929275512695,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5,paired,-67.31534576416016,-69.43778991699219,True,-1.5359468460083008,-2.621884346008301,-1.5509967803955078,-2.652559280395508,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6,paired,-49.542755126953125,-52.31230926513672,True,-1.4886255264282227,-2.5276880264282227,-1.5583429336547852,-2.527092933654785,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7,paired,-30.901416778564453,-36.23514175415039,True,-1.4982538223266602,-2.71700382232666,-1.5308074951171875,-2.7183074951171875,True,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8,paired,-28.427112579345703,-33.49834442138672,True,-1.5201549530029297,-2.5826549530029297,-1.5532455444335938,-2.4985580444335938,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9,paired,-33.937591552734375,-39.24796676635742,True,-1.5112285614013672,-2.604978561401367,-1.618093490600586,-2.563405990600586,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10,paired,-59.805084228515625,-70.11749267578125,True,-1.4979009628295898,-2.72446346282959,-1.5325241088867188,-2.6887741088867188,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11,paired,-33.58739471435547,-38.547828674316406,True,-1.5040760040283203,-2.5665760040283203,-1.5020246505737305,-2.5723371505737305,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12,paired,-30.150753021240234,-31.971752166748047,True,-1.5848579406738281,-2.647357940673828,-1.5510845184326172,-2.762022018432617,False,False,True,False,False,True,meta-llama/Llama-2-13b-hf,
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13,paired,-30.49176788330078,-39.28968048095703,True,-1.5437889099121094,-2.7859764099121094,-1.609537124633789,-2.757974624633789,True,True,True,False,False,True,meta-llama/Llama-2-13b-hf,
