item_id,prefix,final_word,direct_logprob,meta_logprob,kl_divergence,spearman_r_all,spearman_p_all,spearman_r_top100,spearman_p_top100,model,revision
0,"In my palm is a clear stone, and inside it is a small ivory statuette. A guardian angel.

""Figured if you're going to be out at night getting hit by cars, you might as well have some backup.""

I look at him, feeling stunned. Like this is some sort of sign. But as I stare at Harlin, his mouth curved in a confident grin, I don't care about",signs,-1.806732177734375,-5.666015625,1.1531393283803482e-05,0.8020442152669237,0.0,0.5825142514251425,2.0478622707865417e-10,google/gemma-7b,
1,"Give me a minute to change and I'll meet you at the docks."" She'd forced those words through her teeth.

""No need to change. We won't be that long.""

Shane gripped her arm and started leading her to the dock.

""I can make it there on my own,",Shane,-1.4118804931640625,-2.97637939453125,1.3938684787717648e-05,0.8054683188469306,0.0,0.21327332733273324,0.03313065928717344,google/gemma-7b,
2,"""Only one source I know of that would be likely to cough up enough money to finance a phony sleep research facility and pay people big bucks to solve crimes in their dreams,"" Farrell concluded dryly.

""What can I say?"" Ellis unfolded his arms and widened his hands. ""Your tax dollars at work.""

Before Farrell could respond, Leila's voice rose from inside the house.

""No insurance?"" she wailed. ""What do you mean you don't have any",insurance,-0.16986465454101562,-3.047332763671875,1.214159419760108e-05,0.7531752733789007,0.0,-0.07564356435643564,0.45446138200896813,google/gemma-7b,
3,"Helen's heart broke a little in the face of Miss Mabel's selfless courage. She thought that because she was old, her life was of less value than the others'. For all Helen knew, Miss Mabel had a lot more years to live than she did. ""Not going to happen,"" replied",Helen,-0.3914337158203125,-2.2220916748046875,7.177136922109639e-06,0.8279070075273853,0.0,0.5016261626162616,1.0580003657873236e-07,google/gemma-7b,
4,"Preston had been the last person to wear those chains, and I knew what I'd see and feel if they were slipped onto my skin-the Reaper's unending hatred of me. I'd felt enough of that emotion already in the amphitheater. I didn't want to feel anymore.

""Don't put those on me,"" I whispered. ""Please.""

Sergei looked at me, surprised by my low, raspy please, but he put down the",chains,-0.3106536865234375,-1.8555908203125,5.987948497931939e-06,0.840878072820529,0.0,0.5611401140114011,1.2582754834208386e-09,google/gemma-7b,
5,"She knew that Basha was a decent young man, that he was pretty sweet and friendly with her. Jawen knew they had a bit of a history, but she thought that this time she would get along better with him, that she could overlook those problems. 
They kissed, and she knew that she liked Basha, but then Hastin interfered. She was so angry that she immediately said, once they were out of earshot of Basha, “You don’t mean anything to me anymore,",Hastin,-0.658935546875,-4.1475982666015625,1.3679948096978478e-05,0.7931078820630486,0.0,0.3169276927692769,0.0013150549161217633,google/gemma-7b,
6,"He heard Rhinna speak “The Queen wants you in her carriage.” 
Tom spoke “No, I’m not going in some asylum.” 
Ran was seen standing next to him spoke “It’s just for a private talk with you that’s all.” 
Tom groaned and went inside the carriage to sit down next to the",Queen,-0.595494270324707,-3.5938339233398438,1.3883194696973078e-05,0.7883922392905429,0.0,0.39201920192019196,5.4929794369886055e-05,google/gemma-7b,
7,"There was no way he would come here on his own. 
He ordered a cup of coffee, and then we just sat in silence. 
“So,” Aidan finally said, “How’s it going?”
I laughed. “Not much has changed since the last time I saw you.”
“Ya know, you eat here a lot,” said",Aidan,-0.58935546875,-4.285858154296875,1.2764596249326132e-05,0.8230674572217059,0.0,0.48712871287128706,2.754635665212405e-07,google/gemma-7b,
8,"“Why?”
“I would have thought you’d find him rather dry,” she said.
“I don’t know about that,” said Gabriel.
“He was a great craftsman,” said Heather.
“That he was,” said Flannery.
“And Polish, to boot,” said",Gabriel,-0.876861572265625,-6.947395324707031,1.642709321458824e-05,0.7609408314226885,0.0,0.12506450645064504,0.2150510109915496,google/gemma-7b,
9,"Both its sun-speckled shade and the cool grass beneath were a welcome respite after the stifling kitchen, and I was glad to relax against the tree’s rough, brittle bark and begin my breakfast of buttery, toasted bread and fresh fruit. Even the water was tasty, it was so clean and cold. It almost made up for the lack of",coffee,-2.3513946533203125,-6.02667236328125,1.3458131434163079e-05,0.7873297328956392,0.0,0.4486408640864086,2.8502056421794136e-06,google/gemma-7b,
10,"Escorting drunk humans out of the bar is different from going up against a tiger-wildcat who eats raw steak for breakfast and is dying for a fight.""

""I bet he could win with just his breath,"" Ronan said. Sean chuckled.

""Take it seriously, Ronan. These guys are seasoned. If Marquez has a champion, it means he's won a good share of the",fights,-0.7936553955078125,-3.5380859375,1.0390845091023948e-05,0.8244268787409383,0.0,0.36053513512054,0.00022892240577484968,google/gemma-7b,
11,"Instead, I stare straight ahead like I'm deeply interested in what's going on at the front of the room.

Eventually, we make it through to the part where everyone stands up and says their little piece. Some have a longer, more in depth story to tell, which terrifies me. I don't want anyone to ask me for my",story,-0.746429443359375,-3.930145263671875,1.080658876162488e-05,0.7507080424740863,0.0,0.5072547254725472,7.209186926284156e-08,google/gemma-7b,
