condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100,"$40

Question: A man has 100 coins. He has 100 rupees in 1 rupee coins and 100 rupees in 50 paise coins. How many coins of each type does he have?
Answer: 200 coins of 1 rupee and 200 coins of 50 paise

Question: A man has 100 coins. He has",$40.00,intuitive,intuitive,"[-1.6129025220870972, -1.160375714302063, -1.8674917221069336, -1.522547960281372, -1.3314043283462524, -0.4207207262516022, -1.6488306522369385, -1.140946865081787]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.612902522,-1.160375714,5,intuitive_alt,$40,-0.4207207263,FALSE,-1.331404328,-0.4207207263,FALSE,mistralai/Mistral-7B-v0.1,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1,"10 cents

Question: A man has 100 coins in his pocket. He has 10 more nickels than dimes. How many coins of each type does he have?
Answer: 20 nickels and 80 dimes

Question: A man has 100 coins in his pocket. He has 10 more nickels than dimes. How many coins of each type does he have?
Answer: ",10 cents.,,,"[-0.8228782415390015, -0.42350083589553833, -1.2434412240982056, -1.489492416381836, -0.8228782415390015, -0.42350083589553833, -1.2434412240982056, -2.4445300102233887]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.8228782415,-0.4235008359,1,intuitive,$0.40,-0.4235008359,FALSE,-0.8228782415,-0.4235008359,FALSE,mistralai/Mistral-7B-v0.1,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100,"$10

Question: A man has 100 coins. He has 100 more nickels than dimes. How many nickels does he have?
Answer: 100

Question: A man has 100 coins. He has 100 more nickels than dimes. How many dimes does he have?
Answer: 100

Question: A man has 100 coins.",$10.00,intuitive,intuitive,"[-1.9879108667373657, -1.279462218284607, -1.928974986076355, -1.6956621408462524, -2.592735767364502, -0.449432373046875, -1.7619106769561768, -1.5052180290222168]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.987910867,-1.279462218,5,intuitive_alt,$10,-0.449432373,FALSE,-2.592735767,-0.449432373,FALSE,mistralai/Mistral-7B-v0.1,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"$2

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the light bulb cost?
Answer: $12

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: $2

Question: A light bulb and",$2.00,intuitive,intuitive,"[-1.7732270956039429, -1.2660272121429443, -1.7963358163833618, -1.6278891563415527, -1.9380202293395996, -0.6054568290710449, -1.8825668096542358, -1.880405068397522]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.773227096,-1.266027212,5,intuitive_alt,$2,-0.6054568291,FALSE,-1.938020229,-0.6054568291,FALSE,mistralai/Mistral-7B-v0.1,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"$3

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the chair cost?
Answer: $13

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: $3

Question: A chair and a coat together cost $13. The chair costs $",$3.00,intuitive,intuitive,"[-1.806922197341919, -1.3768583536148071, -1.9874471426010132, -1.7771357297897339, -1.806922197341919, -0.699089527130127, -1.959259033203125, -2.0003573894500732]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.806922197,-1.376858354,5,intuitive_alt,$3,-0.6990895271,FALSE,-1.806922197,-0.6990895271,FALSE,mistralai/Mistral-7B-v0.1,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,"$4

Question: A man bought a shirt and a pair of trousers for $100. The shirt cost $20 more than the trousers. How much did the trousers cost?
Answer: $40

Question: A man bought a shirt and a pair of trousers for $100. The shirt cost $20 more than the trousers. How much did the trousers cost?
Answer",$4.00,intuitive,intuitive,"[-2.1606154441833496, -1.6836693286895752, -2.081824541091919, -1.8895565271377563, -1.9952244758605957, -0.7408056259155273, -2.036850929260254, -1.9799998998641968]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.160615444,-1.683669329,5,intuitive_alt,$4,-0.7408056259,FALSE,-1.995224476,-0.7408056259,FALSE,mistralai/Mistral-7B-v0.1,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50,"$2

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the coffee table cost?
Answer: $52

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the coffee table cost?
Answer: $52

Question: A coffee table and",$2.00,intuitive,intuitive,"[-2.0432207584381104, -1.4828497171401978, -1.938332200050354, -1.7418922185897827, -1.320638656616211, -0.7073907852172852, -1.9003082513809204, -1.967367172241211]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.043220758,-1.482849717,5,intuitive_alt,$2,-0.7073907852,FALSE,-1.320638657,-0.7073907852,FALSE,mistralai/Mistral-7B-v0.1,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50,"$1

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: $1

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: $1

",$1.00,intuitive,intuitive,"[-2.1515228748321533, -1.346203088760376, -1.7809966802597046, -1.688576102256775, -2.1515228748321533, -0.5241127014160156, -1.6528631448745728, -1.8282419443130493]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.151522875,-1.346203089,5,intuitive_alt,$1,-0.5241127014,FALSE,-2.151522875,-0.5241127014,FALSE,mistralai/Mistral-7B-v0.1,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"$0.20

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the can of baby food cost?
Answer: $1.20

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer",$0.00,,intuitive,"[-0.8852306604385376, -0.45375099778175354, -1.0956780910491943, -1.3651278018951416, -0.8852306604385376, -0.45375099778175354, -1.0956780910491943, -2.146953582763672]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.8852306604,-0.4537509978,1,intuitive,$0.20,-0.4537509978,FALSE,-0.8852306604,-0.4537509978,FALSE,mistralai/Mistral-7B-v0.1,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"$3

Question: A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the sculpture cost?
Answer: $13

Question: A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?
Answer: $",$3.00,intuitive,intuitive,"[-1.6709482669830322, -1.2869850397109985, -1.9735199213027954, -1.7787551879882812, -1.6709482669830322, -0.6760025024414062, -2.111416816711426, -2.0486299991607666]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.670948267,-1.28698504,5,intuitive_alt,$3,-0.6760025024,FALSE,-1.670948267,-0.6760025024,FALSE,mistralai/Mistral-7B-v0.1,
