good_sentence,bad_sentence,category,category_fine,blimp_UID,blimp_pairID,item_id
Mary had left.,Mary had referenced.,syntax,argument_structure,drop_argument,608,1
Some person's tutor arrived at every library.,Some person's tutor nodded every library.,syntax,argument_structure,transitive,492,2
Jesus's mentor is impressed by the lights.,Jesus's mentor is nodded by the lights.,syntax,argument_structure,passive_1,452,3
The Clintons' nephews weren't left by Angela.,The Clintons' nephews weren't testified by Angela.,syntax,argument_structure,passive_1,566,4
A guy has criticized most daughters of Benjamin.,A guy has slumped over most daughters of Benjamin.,syntax,argument_structure,transitive,784,5
Debra isn't bored by Carlos.,Debra isn't smiled by Carlos.,syntax,argument_structure,passive_1,847,6
That ice freezes.,That ice revealed.,syntax,argument_structure,inchoative,304,7
Becky paints.,Becky conceals.,syntax,argument_structure,intransitive,786,8
Ronald wasn't distracted.,Ronald wasn't suffered.,syntax,argument_structure,passive_2,414,9
A lot of hospitals aren't alarmed by that spotlight.,A lot of hospitals aren't collaborated by that spotlight.,syntax,argument_structure,passive_1,809,10
These snakes wake up.,These snakes admired.,syntax,argument_structure,inchoative,748,11
Raymond washes.,Raymond annoys.,syntax,argument_structure,inchoative,412,12
Most icicles melt.,Most icicles reveal.,syntax,argument_structure,inchoative,283,13
Melanie's grandson has hidden away.,Melanie's grandson has disliked.,syntax,argument_structure,inchoative,854,14
Jennifer unfolds some blouse.,Jennifer disappeared some blouse.,syntax,argument_structure,causative,760,15
Nieces of all men have hugged.,Nieces of all men have dropped by.,syntax,argument_structure,intransitive,750,16
The Clintons' sisters joke around.,The Clintons' sisters bike to.,syntax,argument_structure,intransitive,878,17
The Impressionists have changed.,The Impressionists have dropped by.,syntax,argument_structure,intransitive,110,18
A lot of waiters' best friend watches.,A lot of waiters' best friend references.,syntax,argument_structure,drop_argument,182,19
Barbara bought.,Barbara lifts.,syntax,argument_structure,drop_argument,390,20
Christina chipped glasses.,Christina vanished glasses.,syntax,argument_structure,causative,166,21
The men weren't hugged.,The men weren't responded.,syntax,argument_structure,passive_2,325,22
Rachelle isn't respected.,Rachelle isn't lied.,syntax,argument_structure,passive_2,871,23
The friend of Karen was bothered.,The friend of Karen was waved.,syntax,argument_structure,passive_2,348,24
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,11,25
An eye opens.,An eye admires.,syntax,argument_structure,inchoative,974,26
Kirsten isn't described by the mother of Rodney.,Kirsten isn't argued by the mother of Rodney.,syntax,argument_structure,passive_1,493,27
Lissa shuts a gate.,Lissa falls a gate.,syntax,argument_structure,causative,852,28
Tonya washed Teresa.,Tonya negotiates Teresa.,syntax,argument_structure,causative,274,29
Liam should shock Joseph's supervisors.,Liam should shrug Joseph's supervisors.,syntax,argument_structure,transitive,165,30
These waiters' plumbers were referenced.,These waiters' plumbers were left.,syntax,argument_structure,passive_2,906,31
That glass wasn't dropping.,That glass wasn't looking like.,syntax,argument_structure,inchoative,619,32
Some ladies were accelerating many bikes.,Some ladies were vanishing many bikes.,syntax,argument_structure,causative,771,33
Claire wouldn't close many doors.,Claire wouldn't fall many doors.,syntax,argument_structure,causative,692,34
Nicole wasn't descending.,Nicole wasn't returning to.,syntax,argument_structure,drop_argument,315,35
Margaret was watched by Carol.,Margaret was died by Carol.,syntax,argument_structure,passive_1,745,36
Benjamin would wrinkle every scarf.,Benjamin would fall every scarf.,syntax,argument_structure,causative,4,37
A lot of grandsons of Tara have helped.,A lot of grandsons of Tara have resembled.,syntax,argument_structure,drop_argument,439,38
Vincent hated William.,Vincent grinned William.,syntax,argument_structure,transitive,197,39
Some pants folded.,Some pants admire.,syntax,argument_structure,inchoative,632,40
Some dress dries.,Some dress messed up.,syntax,argument_structure,inchoative,403,41
Many women joke around.,Many women care for.,syntax,argument_structure,intransitive,872,42
An adult wouldn't fold this sock.,An adult wouldn't disappear this sock.,syntax,argument_structure,causative,897,43
Katherine is helped.,Katherine is trained.,syntax,argument_structure,passive_2,545,44
Claire's ex-boyfriend wasn't referenced by Brian.,Claire's ex-boyfriend wasn't disagreed by Brian.,syntax,argument_structure,passive_1,328,45
Mouths haven't closed.,Mouths haven't bought.,syntax,argument_structure,inchoative,89,46
Some waiter's tutors were impressed.,Some waiter's tutors were competed.,syntax,argument_structure,passive_2,453,47
Those blouses had flattened.,Those blouses had looked like.,syntax,argument_structure,intransitive,462,48
Erin wouldn't disgust Matt.,Erin wouldn't fall Matt.,syntax,argument_structure,transitive,185,49
The child hadn't hidden Alice.,The child hadn't donated Alice.,syntax,argument_structure,causative,831,50
Dawn hates this determined patient.,Dawn hates these determined patient.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,110,51
Marie cares for that nice child.,Marie cares for that nice children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,119,52
Some children were healing these students.,Some children were healing these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,688,53
A box alarms these actresses.,A box alarms these actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,624,54
Timothy explores this restaurant.,Timothy explores this restaurants.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,314,55
This rug worries that child.,This rug worries those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,946,56
Jill discovered this content girl.,Jill discovered these content girl.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,350,57
That adult has brought that purple octopus.,That adult has brought those purple octopus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,8,58
Most senators run around those hospitals.,Most senators run around those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,981,59
Claire conceals those small stimuli.,Claire conceals that small stimuli.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,192,60
These muffins haven't bored those standing guys.,These muffins haven't bored that standing guys.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,569,61
