problem_type,problem_ind,problem_id,perm_invariant,correct_answer,generated_response,generated_response_sum_logprob,generated_response_pred_set,generated_response_correct,mc_answer_logprobs,mc_response_index,mc_response,mc_response_sum_logprob,mc_response_correct,model,revision
row_constant,0,row_constant_0,False,[3],"3]
[2] [2] [",-1.7949836254119873,[3],True,"[-7.440305233001709, -6.68109130859375, -6.326188087463379, -0.039261460304260254, -5.036266326904297, -5.963756561279297, -4.553581237792969, -5.907157897949219]",3,3],-0.039261460304260254,True,google/gemma-2b,
col_constant,0,col_constant_0,False,[6],"6]
[1] [7] [",-0.6781197786331177,[6],True,"[-5.314543724060059, -4.902554512023926, -5.2472710609436035, -4.624492168426514, -5.879086017608643, -4.804415702819824, -0.06544840335845947, -4.373089790344238]",6,6],-0.06544840335845947,True,google/gemma-2b,
dist3_diag1,0,dist3_diag1_0,False,[2],"2]
[6] [2] [",-2.070094347000122,[2],True,"[-0.09011662006378174, -4.25063419342041, -3.955960273742676, -4.211237907409668, -5.577864170074463, -5.723476409912109, -5.988402366638184, -5.582807540893555]",0,2],-0.09011662006378174,True,google/gemma-2b,
dist3_diag2,0,dist3_diag2_0,False,[9],"9]
[1] [9] [",-2.5066981315612793,[9],True,"[-4.706124305725098, -4.564373016357422, -5.841939449310303, -6.30117654800415, -4.1353302001953125, -0.0899420976638794, -5.209112167358398, -4.895197868347168]",5,9],-0.0899420976638794,True,google/gemma-2b,
prog_size1,0,prog_size1_0,False,[4],"4]
[3] [4] [",-0.2943284213542938,[4],True,"[-5.446835517883301, -7.145016193389893, -5.837821960449219, -6.494448661804199, -0.02715909481048584, -7.775318622589111, -6.929131507873535, -8.54173755645752]",4,4],-0.02715909481048584,True,google/gemma-2b,
prog_size2,0,prog_size2_0,False,[8],"8]
[6] [8] [",-0.3119797110557556,[8],True,"[-5.240245342254639, -5.014864444732666, -6.649470329284668, -6.275609493255615, -5.571033954620361, -6.903877258300781, -0.04854726791381836, -6.801412105560303]",6,8],-0.04854726791381836,True,google/gemma-2b,
two_rule_comb0,0,two_rule_comb0_0,False,[6 9],"6 9]
[0 6]",-0.5188277363777161,"[6, 9]",True,"[-10.615760803222656, -6.966029167175293, -8.79818344116211, -7.208563804626465, -10.420669555664062, -11.43830680847168, -0.02651876211166382, -11.79975700378418]",6,6 9],-0.02651876211166382,True,google/gemma-2b,
two_rule_comb1,0,two_rule_comb1_0,False,[1 2],"1 2]
[1 0]",-2.8933868408203125,"[1, 2]",True,"[-0.26965877413749695, -10.004852294921875, -9.063289642333984, -6.800477981567383, -11.442611694335938, -9.911083221435547, -10.106173515319824, -10.480569839477539]",0,1 2],-0.26965877413749695,True,google/gemma-2b,
two_rule_comb2,0,two_rule_comb2_0,False,[1 0],"1 0]
[2 1]",-2.3241047859191895,"[1, 0]",True,"[-8.164873123168945, -6.829293251037598, -9.282899856567383, -10.279574394226074, -4.86182975769043, -8.261369705200195, -13.214487075805664, -0.05611765384674072]",7,1 0],-0.05611765384674072,True,google/gemma-2b,
two_rule_comb3,0,two_rule_comb3_0,False,[9 1],"9 1]
[9 1]",-2.6910605430603027,"[9, 1]",True,"[-6.003948211669922, -7.105630874633789, -0.3382388651371002, -5.896569728851318, -5.356050968170166, -7.836694240570068, -6.354529857635498, -6.225637912750244]",2,9 1],-0.3382388651371002,True,google/gemma-2b,
two_rule_comb4,0,two_rule_comb4_0,False,[1 6],"6 7]
[3 7]",-3.039579391479492,"[6, 7]",False,"[-4.164266586303711, -4.871521949768066, -8.198803901672363, -6.105749607086182, -5.197393417358398, -9.423382759094238, -5.630127906799316, -8.705745697021484]",0,6 9],-4.164266586303711,False,google/gemma-2b,
two_rule_comb5,0,two_rule_comb5_0,False,[2 0],"2 0]
[3 1]",-0.49534744024276733,"[2, 0]",True,"[-0.07388502359390259, -8.296801567077637, -10.692602157592773, -11.737905502319336, -12.864967346191406, -8.128950119018555, -12.86347484588623, -7.474973201751709]",0,2 0],-0.07388502359390259,True,google/gemma-2b,
three_rule_comb0,0,three_rule_comb0_0,False,[1 8 8],"1 8 8]
[5 ",-0.8982398509979248,"[1, 8, 8]",True,"[-10.99484634399414, -5.688403129577637, -14.325876235961914, -4.632137298583984, -12.84823989868164, -0.06773066520690918, -8.234888076782227, -11.330116271972656]",5,1 8 8],-0.06773066520690918,True,google/gemma-2b,
three_rule_comb1,0,three_rule_comb1_0,False,[6 9 0],"6 9 9]
[3 ",-1.2246429920196533,"[6, 9, 9]",False,"[-16.293628692626953, -14.885063171386719, -11.005234718322754, -14.303956031799316, -13.900035858154297, -1.6578702926635742, -13.02641487121582, -12.901530265808105]",5,6 9 0],-1.6578702926635742,True,google/gemma-2b,
three_rule_comb2,0,three_rule_comb2_0,False,[0 0 1],"0 0 1]
[6 ",-0.6484389901161194,"[0, 0, 1]",True,"[-13.162729263305664, -0.13456422090530396, -5.997413158416748, -16.383821487426758, -18.589757919311523, -16.43256950378418, -16.37559700012207, -18.086177825927734]",1,0 0 1],-0.13456422090530396,True,google/gemma-2b,
three_rule_comb3,0,three_rule_comb3_0,False,[5 1 7],"5 1 7]
[9 ",-1.5878591537475586,"[5, 1, 7]",True,"[-11.979345321655273, -9.737775802612305, -14.119307518005371, -11.698026657104492, -3.046376943588257, -4.11283540725708, -7.417108535766602, -1.2153822183609009]",7,5 1 7],-1.2153822183609009,True,google/gemma-2b,
three_rule_comb4,0,three_rule_comb4_0,False,[8 7 0],"1 0 0]
[7 ",-3.223097801208496,"[1, 0, 0]",False,"[-6.770917892456055, -8.541511535644531, -7.117987632751465, -3.693519115447998, -4.928590297698975, -7.020432472229004, -9.040953636169434, -10.165876388549805]",3,8 7 0],-3.693519115447998,True,google/gemma-2b,
three_rule_comb5,0,three_rule_comb5_0,False,[5 0 7],"5 4 7]
[1 ",-2.846349000930786,"[5, 4, 7]",False,"[-16.971046447753906, -5.86659049987793, -5.724072456359863, -7.513970851898193, -9.501189231872559, -8.691207885742188, -5.126288414001465, -12.694395065307617]",6,5 3 5],-5.126288414001465,False,google/gemma-2b,
three_rule_comb6,0,three_rule_comb6_0,False,[0 1 6],"0 1 6]
[5 ",-1.5698057413101196,"[0, 1, 6]",True,"[-10.103060722351074, -7.001924991607666, -15.885833740234375, -6.602961540222168, -0.4911631941795349, -6.8715620040893555, -12.357224464416504, -6.248729705810547]",4,0 1 6],-0.4911631941795349,True,google/gemma-2b,
three_rule_comb7,0,three_rule_comb7_0,False,[5 4 8],"5 4 2]
[8 ",-1.4095985889434814,"[5, 4, 2]",False,"[-11.806042671203613, -9.1791353225708, -12.161688804626465, -4.041755676269531, -7.776900291442871, -9.704010009765625, -9.13936996459961, -4.971071243286133]",3,5 4 8],-4.041755676269531,True,google/gemma-2b,
three_rule_comb8,0,three_rule_comb8_0,False,[8 1 2],"8 2 5]
[7 ",-3.1735172271728516,"[8, 2, 5]",False,"[-4.646579265594482, -7.851245880126953, -6.752376079559326, -6.229032039642334, -7.742879867553711, -6.939094543457031, -5.670141220092773, -6.607606887817383]",0,8 1 2],-4.646579265594482,True,google/gemma-2b,
three_rule_comb9,0,three_rule_comb9_0,False,[5 7 3],"5 5 3]
[6 ",-2.4423251152038574,"[5, 5, 3]",False,"[-5.515536785125732, -7.421234130859375, -5.208890914916992, -6.88324499130249, -2.8678689002990723, -4.477733135223389, -8.292671203613281, -5.303443908691406]",4,5 7 3],-2.8678689002990723,True,google/gemma-2b,
c3_set_union,0,c3_set_union_0,True,[6 4 1 9],"6 9]
[6 4]",-5.365875720977783,[6 9],False,"[-5.770755290985107, -4.614625453948975, -3.950410842895508, -6.100895881652832, -5.008462905883789, 0.0, -2.017277240753174, -3.532409429550171]",5,],0.0,False,google/gemma-2b,
c1_set_union,0,c1_set_union_0,True,[4],"4]
[6 7] [6",-2.4099080562591553,[4],True,"[-11.468622207641602, -9.959832191467285, -4.207141876220703, -0.027276523411273956, -9.895363807678223, -10.567691802978516, -10.702492713928223, -11.858308792114258]",3,4],-0.027276523411273956,True,google/gemma-2b,
c2_set_union,0,c2_set_union_0,True,[9],"9]
[6 7] [6",-4.670467376708984,[9],True,"[-3.983191967010498, 0.0, -1.000157356262207, -5.120749473571777, -5.064013481140137, -6.023653030395508, -2.26894211769104, -5.466528415679932]",1,],0.0,False,google/gemma-2b,
AND,0,AND_0,True,[4],"4]
[1 4 5]",-3.750683546066284,[4],True,"[-11.700300216674805, -10.29143238067627, -14.694291114807129, -9.498833656311035, -10.939467430114746, -0.04500627517700195, -10.333072662353516, -9.880574226379395]",5,4],-0.04500627517700195,True,google/gemma-2b,
XOR,0,XOR_0,True,[4 3],"6 4]
[1 3]",-2.765328884124756,[4 6],False,"[-15.079570770263672, -7.5714640617370605, -9.258536338806152, -9.522804260253906, -4.603102207183838, -2.400873899459839, -5.14005184173584, -11.853212356567383]",5,6 1],-2.400873899459839,False,google/gemma-2b,
c3_set_union_permuted,0,c3_set_union_permuted_0,True,[2 6 5 3],"3 2]
[2 3]",-6.181384086608887,[2 3],False,"[0.0, -8.51689624786377, -3.6830220222473145, -3.566948890686035, -2.937777042388916, -6.711302757263184, -11.249371528625488, -6.152462959289551]",0,],0.0,False,google/gemma-2b,
c2_set_union_permuted,0,c2_set_union_permuted_0,True,[5],5 6 1 5] [5,-2.8883278369903564,[1 5 5 6],False,"[-3.052243232727051, -2.9130306243896484, -3.6330859661102295, -9.5062255859375, -7.64051628112793, -4.466966152191162, -5.176303863525391, -9.114786148071289]",1,6],-2.9130306243896484,False,google/gemma-2b,
c1_set_union_permuted,0,c1_set_union_permuted_0,True,[0],"0]
[9 0] [0",-3.5181288719177246,[0],True,"[-5.005095481872559, -3.2569007873535156, -6.728681564331055, -0.3335750102996826, -9.667159080505371, -2.406672239303589, -11.282475471496582, 0.0]",7,],0.0,False,google/gemma-2b,
XOR_permuted,0,XOR_permuted_0,True,[4 0],"4 6]
[8 6]",-2.535987377166748,[4 6],False,"[-15.838679313659668, -3.3610646724700928, -7.953221321105957, -13.219615936279297, -2.263645887374878, -3.4101266860961914, 0.0, -12.376595497131348]",6,],0.0,False,google/gemma-2b,
AND_permuted,0,AND_permuted_0,True,[],"3]
[2 3] [9",-5.196918964385986,[3],False,"[-7.75833797454834, -5.814532279968262, -14.803743362426758, -15.676239013671875, 0.0, -10.808321952819824, -0.5613939762115479, -7.356191635131836]",4,],0.0,True,google/gemma-2b,
row_constant,1,row_constant_1,False,[4],"4]
[2] [2] [",-1.6974022388458252,[4],True,"[-5.1941680908203125, -5.087925910949707, -5.68741512298584, -4.80504035949707, -6.0861124992370605, -0.06992197036743164, -5.105518341064453, -4.073256969451904]",5,4],-0.06992197036743164,True,google/gemma-2b,
col_constant,1,col_constant_1,False,[9],"9]
[6] [0] [",-0.7064990401268005,[9],True,"[-0.10010218620300293, -5.549625396728516, -4.37163782119751, -4.546820163726807, -4.118809223175049, -5.255528926849365, -5.4481353759765625, -4.918641090393066]",0,9],-0.10010218620300293,True,google/gemma-2b,
dist3_diag1,1,dist3_diag1_1,False,[4],"4]
[8] [4] [",-2.5817039012908936,[4],True,"[-6.756258010864258, -6.5492753982543945, -5.908761978149414, -9.434199333190918, -0.0173642635345459, -7.617057800292969, -8.649181365966797, -7.7389445304870605]",4,4],-0.0173642635345459,True,google/gemma-2b,
dist3_diag2,1,dist3_diag2_1,False,[5],"5]
[5] [3] [",-1.9730849266052246,[5],True,"[-0.04809069633483887, -6.335705757141113, -4.850296974182129, -6.487800121307373, -6.2940497398376465, -4.389615058898926, -5.3673810958862305, -4.920792579650879]",0,5],-0.04809069633483887,True,google/gemma-2b,
