item_id,phenomenon,test_item,original_condition,sentence_grammatical,sentence_ungrammatical,condition,direct_sum_logprob_good_sentence,direct_sum_logprob_bad_sentence,direct_correct,meta_sum_logprob_good_first_1,meta_sum_logprob_good_first_2,meta_sum_logprob_bad_first_1,meta_sum_logprob_bad_first_2,meta_1_correct,meta_2_correct,meta_good_correct,meta_bad_correct,meta_correct,meta_correct_lenient,model,revision
0,Anaphora,TS 1,grammatical,The new executive who oversaw the middle managers apparently doubted himself on most major decisions,The new executive who oversaw the middle managers apparently doubted themselves on most major decisions,paired,-90.77975463867188,-91.74736785888672,True,-2.1208455562591553,-3.1759307384490967,-2.0717790126800537,-3.0900514125823975,False,True,True,False,False,True,google/gemma-2b,
1,Anaphora,TS 2,grammatical,The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing,The popular sheriff who campaigned for the incumbent politicians never prepared themselves for the new press briefing,paired,-96.71241760253906,-99.55986022949219,True,-2.2304813861846924,-3.3947346210479736,-2.203706979751587,-3.334993839263916,False,True,True,False,False,True,google/gemma-2b,
2,Anaphora,TS 3,grammatical,The construction worker who argued with the shift leaders undeniably hurt himself on the construction site,The construction worker who argued with the shift leaders undeniably hurt themselves on the construction site,paired,-86.04322814941406,-87.15264892578125,True,-2.1363375186920166,-3.2898342609405518,-2.1037611961364746,-3.2442147731781006,False,True,True,False,False,True,google/gemma-2b,
3,Anaphora,TS 4,grammatical,The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand,The young caddy who escorted the experienced golfers supposedly dirtied themselves by falling in the sand,paired,-98.64215850830078,-101.06487274169922,True,-2.1545352935791016,-3.2687692642211914,-2.154202461242676,-3.229499578475952,False,True,True,False,False,True,google/gemma-2b,
4,Anaphora,TS 5,grammatical,The police officer who aided the brilliant detectives reportedly disguised himself to get more information,The police officer who aided the brilliant detectives reportedly disguised themselves to get more information,paired,-81.03076171875,-82.77534484863281,True,-2.2994260787963867,-3.4328737258911133,-2.287794589996338,-3.3594038486480713,False,True,True,False,False,True,google/gemma-2b,
5,Anaphora,TS 6,ungrammatical,The football referee who argued with the large quarterbacks surprisingly excused himself from the important game,The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game,paired,-92.56072998046875,-96.36001586914062,True,-2.197059154510498,-3.3313937187194824,-2.1616387367248535,-3.2707717418670654,False,True,True,False,False,True,google/gemma-2b,
6,Anaphora,TS 7,ungrammatical,The somber minister who conversed with the religious scholars usually presented himself as very open-minded,The somber minister who conversed with the religious scholars usually presented themselves as very open-minded,paired,-91.4137954711914,-92.78387451171875,True,-2.1449265480041504,-3.098071575164795,-2.15952467918396,-3.1157989501953125,True,False,True,False,False,True,google/gemma-2b,
7,Anaphora,TS 8,ungrammatical,The serious general who advised the new corporals seemingly committed himself to the training regimen,The serious general who advised the new corporals seemingly committed themselves to the training regimen,paired,-99.27766418457031,-100.87808227539062,True,-2.151381731033325,-3.2684333324432373,-2.125321865081787,-3.2220299243927,False,True,True,False,False,True,google/gemma-2b,
8,Anaphora,TS 9,ungrammatical,The paranoid foreman who supervised the coal miners presumably saved himself after the awful cave-in,The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in,paired,-97.03999328613281,-98.87261199951172,True,-2.148589611053467,-3.277726411819458,-2.1274397373199463,-3.2373106479644775,False,True,True,False,False,True,google/gemma-2b,
9,Anaphora,TS 10,ungrammatical,The grimy blacksmith who worked for the royal knights evidently hurt himself with the sharp tools,The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools,paired,-90.19764709472656,-93.98519897460938,True,-2.198042392730713,-3.363224744796753,-2.1828911304473877,-3.3343663215637207,False,True,True,False,False,True,google/gemma-2b,
