condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100,"$100.
The pear costs $100 more than the fridge.
So, the fridge costs $100.
Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: $100
Previous article What is the difference between a “living will” and a “health care proxy",$100.00,more,more,"[-1.2558698654174805, -0.9685196876525879, -1.17308509349823, -1.0838755369186401, -1.2373765707015991, -0.5124219059944153, -1.0930933952331543, -0.8098526000976562]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.255869865,-0.9685196877,5,intuitive_alt,$40,-0.512421906,FALSE,-1.237376571,-0.512421906,FALSE,meta-llama/Llama-2-7b-hf,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1,"$0.40
Question: In a certain code language, ""PATRIOTS"" is written as ""68149"". How is ""ENGINEER"" written in that code?
Question: What is the next number in the sequence? 3, 11, 19, 27,?
Answer: 37, 45, 53, 61, 69
Question: What is the",$0.00,,intuitive,"[-0.956587016582489, -0.31391316652297974, -0.9714933633804321, -0.8589445352554321, -0.956587016582489, -0.31391316652297974, -0.9714933633804321, -0.9182801246643066]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.9565870166,-0.3139131665,1,intuitive,$0.40,-0.3139131665,FALSE,-0.9565870166,-0.3139131665,FALSE,meta-llama/Llama-2-7b-hf,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100,"$10.
Solution: $110 = $100 + $10
$100 + $10 = $110
So the potato costs $10.
Question: I have two apples and three oranges. How many apples do I have?
Answer: Three.
Solution: 2 + 3 = 5.
I have five apples.
Question: A father and son go fish",$10.00,intuitive,intuitive,"[-1.273010015487671, -1.059669852256775, -1.3787254095077515, -1.18561851978302, -1.759232997894287, -0.7818778157234192, -1.4453856945037842, -1.0010716915130615]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.273010015,-1.059669852,5,intuitive_alt,$10,-0.7818778157,FALSE,-1.759232998,-0.7818778157,FALSE,meta-llama/Llama-2-7b-hf,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10,"$10.
Why? Because the light bulb costs $12 and the pan costs $2.
A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
The light bulb costs $12 and the pan costs $2.
A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan.",$10.00,more,more,"[-1.140020728111267, -0.9351040124893188, -1.3947337865829468, -1.3342159986495972, -1.1708946228027344, -0.5889043807983398, -1.6149139404296875, -1.439698576927185]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.140020728,-0.9351040125,5,intuitive_alt,$2,-0.5889043808,FALSE,-1.170894623,-0.5889043808,FALSE,meta-llama/Llama-2-7b-hf,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"$2.
Question: What do you call a person who makes decisions by the numbers?
Answer: A statistician.
Question: A man walks into a bar and orders a drink. He then notices that the bartender has a wooden leg. He asks the bartender if he would like to buy a round of drinks for everyone in the bar. The bartender says, “No, thanks.” The man asks him why not and the b",$2.00,,,"[-1.2005373239517212, -1.191552758216858, -1.5002230405807495, -1.3146605491638184, -1.2005373239517212, -0.8457894325256348, -1.7252601385116577, -1.1455227136611938]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.200537324,-1.191552758,5,intuitive_alt,$3,-0.8457894325,FALSE,-1.200537324,-0.8457894325,FALSE,meta-llama/Llama-2-7b-hf,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50,The wallet costs $9.,The wallet costs $9.,,,"[-1.4634912014007568, -0.8816331624984741, -1.494597315788269, -1.4525337219238281, -1.8637056350708008, -0.6930828094482422, -1.75302255153656, -1.6141090393066406]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.463491201,-0.8816331625,5,intuitive_alt,$4,-0.6930828094,FALSE,-1.863705635,-0.6930828094,FALSE,meta-llama/Llama-2-7b-hf,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50,"$20.
Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: $20. The coffee table costs $70, and the mixing bowl costs $20.
Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl.",$20.00,,,"[-1.6115264892578125, -1.3059742450714111, -1.5431822538375854, -1.4412978887557983, -0.9652285575866699, -1.0321221351623535, -1.9211139678955078, -1.7005525827407837]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.611526489,-1.305974245,4,correct_alt,$1,-0.9652285576,FALSE,-0.9652285576,-1.032122135,TRUE,meta-llama/Llama-2-7b-hf,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50,"The flower box costs $4.
A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: The flower box costs $4.
A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?",The flower box costs $4.,,,"[-1.4123895168304443, -1.3533046245574951, -1.6213550567626953, -1.384670615196228, -1.4123895168304443, -1.1771931648254395, -1.9441524744033813, -1.5302432775497437]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.412389517,-1.353304625,5,intuitive_alt,$1,-1.177193165,FALSE,-1.412389517,-1.177193165,FALSE,meta-llama/Llama-2-7b-hf,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1,"$0.40
The can of baby food costs $1 more than the helmet.
$1.20 = $1 + $0.40
The helmet costs $0.40.
Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Question: A can of baby food and a helmet",$0.00,,,"[-0.7551727294921875, -0.5108398199081421, -1.093410849571228, -0.7699753046035767, -0.7551727294921875, -0.5108398199081421, -1.093410849571228, -1.119140625]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-0.7551727295,-0.5108398199,1,intuitive,$0.20,-0.5108398199,FALSE,-0.7551727295,-0.5108398199,FALSE,meta-llama/Llama-2-7b-hf,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10,"$2.
Question: A man is standing on a platform. He is facing away from the edge. He takes a step forward, then he takes a step back. He is standing on the same platform. How is this possible?
Answer: He is on the ceiling.
Question: What is the only 3-letter word in the English language that has the letters in alphabetical order?
Answer: Unpack.
Question: A man is standing on a platform.",$2.00,,,"[-1.0252912044525146, -0.9826231002807617, -1.598681092262268, -1.3710250854492188, -1.0252912044525146, -0.7636103630065918, -2.0458548069000244, -1.5398378372192383]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.025291204,-0.9826231003,5,intuitive_alt,$3,-0.763610363,FALSE,-1.025291204,-0.763610363,FALSE,meta-llama/Llama-2-7b-hf,
