condition,item_id,question,correct,intuitive,total_cost,more,correct_alt,intuitive_alt,total_cost_alt,more_alt,generated_response_raw,generated_response,generated_response_naive_label,generated_response_label,mc_answer_logprobs,mc_answer_labels,mc_correct_logprob,mc_intuitive_logprob,mc_response_index,mc_response_label,mc_response,mc_response_mean_logprob,mc_response_correct,mc_correct_alt_logprob,mc_intuitive_alt_logprob,mc_response_correct_alt,model,revision
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20.00,$40.00,$140.00,$100.00,$20,$40,$140,$100," The fridge costs $140.

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: The fridge costs $140.

Question: A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?
Answer: The fridge costs $140.

Question: A pear and a fridge together cost $140.",The fridge costs $140.,total_cost_alt,total_cost,"[-2.7940785884857178, -2.878157615661621, -2.2167510986328125, -2.3441834449768066, -2.741117000579834, -2.8556418418884277, -1.568570613861084, -1.9422130584716797]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.794078588,-2.878157616,6,total_cost_alt,$140,-1.568570614,FALSE,-2.741117001,-2.855641842,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40,$1.40,$1," The camera costs $1.40.

Question: A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?
Answer: The camera costs $1.40.

Question: A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?
Answer: The camera costs $1.40.

Question:",The camera costs $1.,more_alt,total_cost,"[-1.68845796585083, -1.4522132873535156, -0.7352569103240967, -1.661956787109375, -1.68845796585083, -1.4522132873535156, -0.7352569103240967, -0.9862494468688965]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.688457966,-1.452213287,2,total_cost,$1.40,-0.7352569103,FALSE,-1.688457966,-1.452213287,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5.00,$10.00,$110.00,$100.00,$5,$10,$110,$100," $110

Question: A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?
Answer: $110

Question: A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?
Answer: $110

Question: A boat and a potato together cost $110. The boat costs $100 more than the potato. How much",$110.00,total_cost,total_cost,"[-2.1358559131622314, -2.252120018005371, -1.943948745727539, -2.230872869491577, -2.4281835556030273, -1.9499015808105469, -1.3179960250854492, -1.8560805320739746]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.135855913,-2.252120018,6,total_cost_alt,$110,-1.317996025,FALSE,-2.428183556,-1.949901581,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1.00,$2.00,$12.00,$10.00,$1,$2,$12,$10," The pan costs $10 more than the light bulb.

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: The pan costs $10 more than the light bulb.

Question: A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?
Answer: The pan costs $10 more",The pan costs $10 more than the light bulb.,more_alt,more,"[-2.1332390308380127, -2.1369102001190186, -1.995424509048462, -1.9366137981414795, -2.3682522773742676, -2.1850028038024902, -1.6622915267944336, -1.7177438735961914]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.133239031,-2.1369102,6,total_cost_alt,$12,-1.662291527,FALSE,-2.368252277,-2.185002804,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," The coat costs $12.

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: The coat costs $12.

Question: A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?
Answer: The coat costs $12.

Question: A chair and a coat together cost $13.",The coat costs $12.,,,"[-2.1009788513183594, -2.3753788471221924, -2.043773651123047, -2.1318740844726562, -2.1009788513183594, -2.3226399421691895, -1.627406120300293, -1.9506077766418457]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.100978851,-2.375378847,6,total_cost_alt,$13,-1.62740612,FALSE,-2.100978851,-2.322639942,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2.00,$4.00,$54.00,$50.00,$2,$4,$54,$50," $54

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: $54

Question: A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?
Answer: $54

Question: A tube of toothpaste and a wallet together cost",$54.00,total_cost,total_cost,"[-2.425689458847046, -2.383039951324463, -1.927152156829834, -2.3337013721466064, -2.7907352447509766, -2.605680465698242, -1.6406655311584473, -2.2308506965637207]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.425689459,-2.383039951,6,total_cost_alt,$54,-1.640665531,FALSE,-2.790735245,-2.605680466,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1.00,$2.00,$52.00,$50.00,$1,$2,$52,$50," The mixing bowl costs $52.

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: The mixing bowl costs $52.

Question: A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?
Answer: The mixing bowl costs $52.
",The mixing bowl costs $52.,total_cost_alt,total_cost,"[-2.0489308834075928, -2.235741376876831, -1.964855432510376, -2.2341601848602295, -2.600907325744629, -2.8249611854553223, -1.9718551635742188, -2.178830623626709]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.048930883,-2.235741377,2,total_cost,$52.00,-1.964855433,FALSE,-2.600907326,-2.824961185,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,$0.50,$1.00,$51.00,$50.00,$0.50,$1,$51,$50," The flower box costs $51. The microwave oven costs $51 more than the flower box. How much does the flower box cost?

Question: A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?
Answer: The flower box costs $51. The microwave oven costs $51 more than the flower box. How much does the flower box cost?

Question: A microwave oven",The flower box costs $51.,total_cost_alt,total_cost,"[-1.9082365036010742, -1.8680741786956787, -1.940572738647461, -2.16694712638855, -1.9082365036010742, -2.1812028884887695, -1.7607035636901855, -1.946357250213623]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.908236504,-1.868074179,6,total_cost_alt,$51,-1.760703564,FALSE,-1.908236504,-2.181202888,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20,$1.20,$1," The helmet costs $1.20.

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer: The helmet costs $1.20.

Question: A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?
Answer:",The helmet costs $1.,more_alt,total_cost,"[-1.6688587665557861, -1.3781445026397705, -0.8311734199523926, -1.5171706676483154, -1.6688587665557861, -1.3781445026397705, -0.8311734199523926, -1.0229778289794922]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-1.668858767,-1.378144503,2,total_cost,$1.20,-0.83117342,FALSE,-1.668858767,-1.378144503,FALSE,EleutherAI/pythia-2.8b-deduped,
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,$3.00,$13.00,$10.00,$1.50,$3,$13,$10," The box of lipstick costs $13. The sculpture costs $10 more than the box of lipstick.

Question: A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?
Answer: The box of lipstick costs $13. The sculpture costs $10 more than the box of lipstick.

Question: A sculpture and a box of lipstick together",The box of lipstick costs $13.,total_cost_alt,total_cost,"[-2.1095008850097656, -2.418480634689331, -2.167799711227417, -2.1144325733184814, -2.1095008850097656, -2.446777820587158, -1.643453598022461, -1.9192194938659668]","['correct', 'intuitive', 'total_cost', 'more', 'correct_alt', 'intuitive_alt', 'total_cost_alt', 'more_alt']",-2.109500885,-2.418480635,6,total_cost_alt,$13,-1.643453598,FALSE,-2.109500885,-2.446777821,FALSE,EleutherAI/pythia-2.8b-deduped,
